46,OCFS2,255 bytes,Any byte except NUL[e],No limit defined[f],4 PiB,4 PiB,?
47,XFS,255 bytes[s],Any byte except NUL[e],No limit defined[f],8 EiB[t],8 EiB[t],?
48,JFS1,255 bytes,Any byte except NUL[e],No limit defined[f],8 EiB,512 TiB to 4 PiB,?
49,JFS,255 bytes,Any Unicode except NUL,No limit defined[f],4 PiB,32 PiB,?
50,QFS,255 bytes,Any byte except NUL[e],No limit defined[f],16 EiB[u],4 PiB[u],?
51,BFS,255 bytes,Any byte except NUL[e],No limit defined[f],"12,288 bytes to 260 GiB[v]",256 PiB to 2 EiB,?
52,AdvFS,255 characters,Any byte except NUL[e],No limit defined[f],16 TiB,16 TiB,?
53,NSS,256 characters,Depends on namespace used[w],Only limited by client,8 TiB,8 TiB,?
54,NWFS,80 bytes[x],Depends on namespace used[w],No limit defined[f],4 GiB,1 TiB,?
55,ODS-5,236 bytes[y],?,"4,096 bytes[z]",1 TiB,1 TiB,?
56,VxFS,255 bytes,Any byte except NUL[e],No limit defined[f],16 EiB,?,?
57,UDF,255 bytes,Any Unicode except NUL,"1,023 bytes[aa]",16 EiB,512 MiB to 16 TiB,?
58,ZFS,255 bytes,Any Unicode except NUL,No limit defined[f],16 EiB,256 ZiB (278 bytes),2128
59,Btrfs,255 bytes,Any byte except '/' and NUL,No limit defined,16 EiB,16 EiB,264
60,Minix V1 FS,"14 or 30 bytes, set at filesystem creation time",Any byte except NUL[e],No limit defined[f],256.5 MiB [ab],64 MiB,?
61,Minix V2 FS,"14 or 30 bytes, set at filesystem creation time",Any byte except NUL[e],No limit defined[f],2 GiB [ab],1 GiB,?
62,Minix V3 FS,60 bytes,Any byte except NUL[e],No limit defined[f],2 GiB,4 GiB,?
63,VMFS2,128,Any byte except NUL or /[e],2048,4 TiB[ac],64 TiB,?
64,VMFS3,128,Any byte except NUL or /[e],2048,2 TiB[ac],64 TiB,?
65,ISO 9660:1988,"Level 1: 8.3,Level 2 & 3: ~ 180",Depends on Level[ad],~ 180 bytes?,4 GiB (Level 1 & 2) to 8 TiB (Level 3)[ae],8 TiB[af],?
66,"Joliet (""CDFS"")",64 Unicode characters,"All UCS-2 code except *, /, \, :, ;, and ?[28]",?,same as ISO 9660:1988,same as ISO 9660:1988,?
67,Rock Ridge,255 bytes,Any byte except NUL or /[e],No limit defined[f],same as ISO 9660:1988,same as ISO 9660:1988,?
68,UniFS,No limit defined (depends on client),?,No limit defined (depends on client),Available cache space at time of write (depends on platform),No limit defined,No limit defined
69,ISO 9660:1999,?,?,?,?,?,?
70,High Sierra Format,?,?,?,?,?,?
71,SquashFS,?,?,No limit defined,16 EiB,16 EiB,?
72,File system,Maximum filename length,Allowable characters in directory entries[c],Maximum pathname length,Maximum file size,Maximum volume size[d],Max number of files
