,Maker,Model,Number,E-Books,E-Books.1,E-Books.2,E-Books.3,E-Books.4,E-Books.5,E-Books.6,E-Books.7,E-Books.8,E-Books.9,E-Books.10,E-Books.11,E-Books.12,E-Books.13,E-Books.14,E-Books.15,E-Books.16,E-Books.17,E-Books.18,E-Books.19,Images,Images.1,Images.2,Images.3,Images.4,Audio/Video,Audio/Video.1,Audio/Video.2,Audio/Video.3,Audio/Video.4,Audio/Video.5,Audio/Video.6
61,Samsung,Papyrus,03,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
62,Samsung,E6,Unknown,No,Unknown,Unknown,No,No,Yes,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
63,Sony,DPT-S1,01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,Sony,Librié,Unknown,Unknown,Unknown,Unknown,No,Unknown,No,Unknown,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
65,Sony,Reader Pocket Edition PRS-300,06,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
66,Sony,Reader PRS-500,09,No,Unknown,Unknown,No,No,No,Unknown,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
67,Sony,Reader PRS-505,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Yes,Yes,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
68,Sony,Reader Touch Edition PRS-600,12,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,Yes,Unknown,No,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
69,Sony,Reader PRS-700,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
70,Sony,Reader Daily Edition PRS-900,11,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
71,Spring Design,Alex eReader,05,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
72,Stereo International Enterprise,ES600,08,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
73,TrekStor,eBook Reader 3.0,08,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Partial (only from FileMgr,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No
74,Velocity Micro,Cruz Reader,14+,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
75,Velocity Micro,Cruz Tablet T103,14+,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
76,Velocity Micro,Cruz Tablet T301,14+,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
77,Wolder Electronics,Boox-S,14,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,Unknown,Yes,No,Partial (no DRM),Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
78,Maker,Model,Number,E-books,E-books,E-books,E-books,E-books,E-books,E-books,E-books,E-books,E-books,E-books,E-books,E-books,E-books,E-books,E-books,E-books,E-books,E-books,E-books,Images,Images,Images,Images,Images,Audio/Video,Audio/Video,Audio/Video,Audio/Video,Audio/Video,Audio/Video,Audio/Video
79,Maker,Model,Number,.azw,.cbr,.cbz,.chm,.djvu,.doc,.docx,.epub,.fb2,.html,.lit,.mobi,.opf,.pdb,.pdf,.pdg,.rtf,.tcr,.tr3,.txt,.bmp,.gif,.jpg,.png,.tiff,.avi,.flv,.m4v,.mov,.mp3,.mpeg1/2/4,.wmv
