9,DSLR,APS-C,,,D30,D30,D30,D30,D30,D60,D60,D60,D60,10D,10D,10D,10D,10D,10D,20D,20D,20D,20D,20D,20D,30D,30D,30D,30D,30D,30D,40D,40D,40D,40D,50D‡,50D‡,50D‡,50D‡,50D‡,50D‡,50D‡,50D‡,60D‡,60D‡,60D‡,60D‡,60D‡,60D‡,60D‡,60D‡,60D‡,60D‡,60D‡,60D‡,70D‡,70D‡,70D‡,70D‡,70D‡,70D‡,70D‡,70D‡,70D‡,70D‡,70D‡,80D,80D,80D,80D,80D,80D,80D,80D,80D,80D,80D,80D,80D,80D,90D,90D,90D,90D,90D
10,DSLR,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760D,760D,760D,760D,760D,760D,760D,760D,77D,77D,77D,77D,77D,77D,77D,77D,77D,77D,77D,77D,77D,77D,77D
11,DSLR,APS-C,,,,,,,,,,,,,,300D,300D,300D,300D,300D,300D,350D,350D,350D,350D,350D,350D,400D,400D,400D,400D,400D,400D,450D,450D,450D,450D,450D,500D‡,500D‡,500D‡,550D‡,550D‡,550D‡,550D‡,600D‡,600D‡,600D‡,600D‡,600D‡,650D‡,650D‡,650D‡,650D‡,700D‡,700D‡,700D‡,700D‡,700D‡,700D‡,700D‡,700D‡,750D,750D,750D,750D,750D,750D,750D,750D,800D,800D,800D,800D,800D,800D,800D,800D,800D,800D,800D,800D,800D,800D,800D
12,DSLR,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100D‡,100D‡,100D‡,100D‡,100D‡,100D‡,100D‡,100D‡,100D‡,100D‡,100D‡,100D‡,100D‡,100D‡,100D‡,100D‡,100D‡,200D,200D,200D,200D,200D,200D,200D,250D,250D,250D,250D,250D,250D,250D
13,DSLR,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000D,1000D,1000D,1000D,1000D,1000D,1000D,1000D,1000D,1000D,1000D,1100D‡,1100D‡,1100D‡,1100D‡,1100D‡,1100D‡,1100D‡,1100D‡,1100D‡,1100D‡,1100D‡,1100D‡,1200D‡,1200D‡,1200D‡,1200D‡,1200D‡,1200D‡,1200D‡,1200D‡,1200D‡,1300D,1300D,1300D,1300D,1300D,1300D,1300D,1300D,2000D,2000D,2000D,2000D,2000D,2000D,2000D,2000D,2000D,2000D,2000D
14,DSLR,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000D,4000D,4000D,4000D,4000D,4000D,4000D,4000D,4000D,4000D,4000D
15,MILC,Full-frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ra,Ra,Ra,Ra,Ra
16,MILC,Full-frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,R,R,R,R,R,R,R
17,MILC,Full-frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP,RP,RP,RP,RP,RP,RP,RP
18,MILC,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M5,M5,M5,M5,M5,M5,M5,M5,M5,M5,M5,M5,M5,M5,M5,M5
19,MILC,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M‡,M‡,M‡,M‡,M‡,M2,M2,M2,M2,M2,M3,M3,M3,M3,M3,M3,M3,M3,M3,M6,M6,M6,M6,M6,M6,M6,M6,M6,M6,M6 Mk II,M6 Mk II,M6 Mk II,M6 Mk II,M6 Mk II
20,MILC,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M50,M50,M50,M50,M50,M50,M50,M50,M50,M50,M50
21,MILC,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M10,M10,M10,M10,M10,M10,M10,M10,M100,M100,M100,M100,M100,M100,M100,M100,M200,M200,M200,M200,M200
22,Type,Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Type,Sensor,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
24,Early models,Early models,Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998),Canon EOS DCS 5 (1995)Canon EOS DCS 3 (1995)Canon EOS DCS 1 (1995)Canon EOS D2000 (1998)Canon EOS D6000 (1998)
