,Unnamed: 0,Primary developers,First public release,Based on,Latest stable version,Latest stable version.1,Cost (USD),Preferred license,Purpose,Short description,Unnamed: 10
27,Gentoo/NetBSD,Gentoo Linux developers,?,NetBSD,?,?,Free,"GPL, BSD","Server, Workstation, Network Appliance, Embedded",uses Gentoo framework,
28,Gentoo/DragonflyBSD,Robert Sebastian Gerus (project not yet officially supported by Gentoo),?,DragonFly BSD,?,?,Free,?,"Server, Workstation, Network Appliance",uses Gentoo framework,
29,Debian GNU/kFreeBSD,The Debian GNU/kFreeBSD team,2011-02-06,"GNU, FreeBSD",7.5,2014-04-26,Free,DFSG,General purpose,GNU userspace on FreeBSD kernel,
30,Debian GNU/NetBSD,The Debian GNU/kNetBSD team,Abandoned,"GNU, NetBSD",Abandoned,Abandoned,Free,DFSG,General purpose,GNU userspace on NetBSD kernel,
31,MidnightBSD[39],Lucas Holt,2007-08-04,FreeBSD 6.1 beta[40],0.8.6,2017-08-28,Free,BSD,Desktop,GNUstep based Desktop Environment,
32,pfSense,various contributors,2006-10-04,FreeBSD,2.4.3,2018-03-29,Free,BSD,Security appliance,"firewall/NAT, Live CD",
33,Paxym FreeBSD for Octeon,Paxym Inc.,2007-12-11,FreeBSD 7.0,4.7,2008-08-13,?,Proprietary,"Network, Storage, Security Applications: Routers/UTM/Firewall/NAS",For Cavium Networks Octeon MIPS architecture multicore processors[41],
34,MaheshaBSD,,?,FreeBSD 8,?,?,Free,BSD,FreeBSD multipurpose,,
35,KarmaBSD[42],,?,FreeBSD 8OpenBSD,?,?,Free,Free software,"FreeBSD, OpenBSD Firewall, MP3 player, backup, others",,
36,Jibbed[43],,,"OpenBSD, NetBSD",6.0,,Free,BSD,,Live CD of NetBSD,Live CD of NetBSD
37,Bitrig,The Bitrig Developers,2014-11-25,OpenBSD,1.0,2014-11-25,Free,ISC,General Purpose,Focus on modern platforms and tools,
38,,Developer,First public release,Based on,Version,Release Date,Cost (USD),Preferred license,Purpose,Short description,
