,Model,Type of device,Brand,Release year,Operating System,OS version,Kernel,UI and version,Comment
22,Nokia 3660,Smartphone,Nokia,,Symbian OS,6.1,,"S60 1st Edition, Feature Pack 1, version 1.2",
23,Nokia 5228,Smartphone,Nokia,,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",
24,Nokia 5230,Smartphone,Nokia,,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",
25,Nokia 5233,Smartphone,Nokia,,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",
26,Nokia 5250,Smartphone,Nokia,2010.0,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5[1]",
27,Nokia 5320,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
28,Nokia 5500 Sport,Smartphone,Nokia,,Symbian OS,9.1,,"S60 3rd Edition, version 3",
29,Nokia 5530 XpressMusic,Smartphone,Nokia,,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",
30,Nokia 5630 XpressMusic,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
31,Nokia 5700 XpressMusic,Smartphone,Nokia,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
32,Nokia 5730 XpressMusic,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
33,Nokia 5800 Navigation Edition,Smartphone,Nokia,,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",
34,Nokia 5800 XpressMusic,Smartphone,Nokia,,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",First S60 touchscreen.First S60 5th
35,Nokia 6110 Navigator,Smartphone,Nokia,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
36,Nokia 6120 classic,Smartphone,Nokia,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
37,Nokia 6121 classic,Smartphone,Nokia,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
38,Nokia 6124 classic,Smartphone,Nokia,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
39,Nokia 6210 Navigator,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
40,Nokia 6220 classic,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
41,Nokia 6260,Smartphone,Nokia,,Symbian OS,7.0s,,"S60 2nd Edition, Feature Pack 1, version 2.1",
42,Nokia 6290,Smartphone,Nokia,2007.0,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
43,Nokia 6600,Smartphone,Nokia,,Symbian OS,7.0s,,"S60 2nd Edition, version 2",
44,Nokia 6620,Smartphone,Nokia,,Symbian OS,7.0s,,"S60 2nd Edition, Feature Pack 1, version 2.1",
45,Nokia 6630,Smartphone,Nokia,,Symbian OS,8.0a,,"S60 2nd Edition, Feature Pack 2, version 2.6",
46,Nokia 6650 fold,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
47,Nokia 6670,Smartphone,Nokia,,Symbian OS,7.0s,,"S60 2nd Edition, Feature Pack 1, version 2.1",
48,Nokia 6680,Smartphone,Nokia,,Symbian OS,8.0a,,"S60 2nd Edition, Feature Pack 2, version 2.6",
49,Nokia 6681,Smartphone,Nokia,,Symbian OS,8.0a,,"S60 2nd Edition, Feature Pack 2, version 2.6",
50,Nokia 6682,Smartphone,Nokia,,Symbian OS,8.0a,,"S60 2nd Edition, Feature Pack 2, version 2.6",
51,Nokia 6700 slide,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
52,Nokia 6708,Smartphone,Nokia,,Symbian OS,7.0,,UIQ 2.1,
53,Nokia 6710 Navigator,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
54,Nokia 6720 classic,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
55,Nokia 6730 classic,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
56,Nokia 6760 slide,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
57,Nokia 6790 slide,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
58,Nokia 6790 surge,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
59,Nokia 6788,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
60,Nokia 6788i,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
61,Nokia 7610,Smartphone,Nokia,,Symbian OS,7.0s,,"S60 2nd Edition, Feature Pack 1, version 2.1",
62,Nokia 7650,Smartphone,Nokia,2002.0,Symbian OS,6.1,,"S60 1st Edition, version 0.9",First Nokia with Symbian OS; first Series 60 (Now S60)) platform device; first Nokia with built-in camera.
63,Nokia 7710,Smartphone,Nokia,,Symbian OS,,,S90,only model on S90
64,Nokia 9210,Smartphone,Nokia,,Symbian OS,6.0,,S80 v1.0,
65,Nokia 9210i,Smartphone,Nokia,,Symbian OS,6.0,,S80 v1.0,
66,Nokia 9290,Smartphone,Nokia,,Symbian OS,,,S80 v1.0,
67,Nokia 9300,Smartphone,Nokia,,Symbian OS,,,S80 v2.0,
68,Nokia 9300i,Smartphone,Nokia,,Symbian OS,,,S80 v2.0,
69,Nokia 9500,Smartphone,Nokia,,Symbian OS,,,S80 v2.0,
70,Nokia C5-00,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
71,Nokia C5-01,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
72,Nokia C5-03,Smartphone,Nokia,2010.0,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",
73,Nokia C6-00,Smartphone,Nokia,2010.0,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",
74,Nokia C6-01,Smartphone,Nokia,2010.0,Symbian^3,9.5,EKA2,"Symbian^3, version 5.2",
75,Nokia C7-00,Smartphone,Nokia,2010.0,Symbian^3,9.5,EKA2,"Symbian^3, version 5.2",
76,Nokia E5-00,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
77,Nokia E50,Smartphone,Nokia,,Symbian OS,9.1,,"S60 3rd Edition, version 3",
78,Nokia E51,Smartphone,Nokia,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
79,Nokia E52,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
80,Nokia E55,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
81,Nokia E60,Smartphone,Nokia,,Symbian OS,9.1,,"S60 3rd Edition, version 3",
82,Nokia E61,Smartphone,Nokia,,Symbian OS,9.1,,"S60 3rd Edition, version 3",
83,Nokia E61i,Smartphone,Nokia,,Symbian OS,9.1,,"S60 3rd Edition, version 3",
84,Nokia E62,Smartphone,Nokia,,Symbian OS,9.1,,"S60 3rd Edition, version 3",
85,Nokia E63,Smartphone,Nokia,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
86,Nokia E65,Smartphone,Nokia,,Symbian OS,9.1,,"S60 3rd Edition, version 3",
87,Nokia E66,Smartphone,Nokia,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
88,Nokia E7-00,Smartphone,Nokia,2010.0,Symbian^3,9.5,EKA2,"Symbian^3, version 5.2",
89,Nokia E70,Smartphone,Nokia,,Symbian OS,9.1,,"S60 3rd Edition, version 3",
90,Nokia E71,Smartphone,Nokia,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
91,Nokia E72,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
92,Nokia E73,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
93,Nokia E75,Smartphone,Nokia,2009.0,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
94,Nokia E90 Communicator,Smartphone,Nokia,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
95,Nokia N70,Smartphone,Nokia,2005.0,Symbian OS,8.1a,,"S60 2nd Edition, Feature Pack 3, version 2.8",
96,Nokia N71,Smartphone,Nokia,2006.0,Symbian OS,9.1,,"S60 3rd Edition, version 3",
97,Nokia N72,Smartphone,Nokia,2006.0,Symbian OS,8.1a,,"S60 2nd Edition, Feature Pack 3, version 2.8",
98,Nokia N73,Smartphone,Nokia,2006.0,Symbian OS,9.1,,"S60 3rd Edition, version 3",
99,Nokia N75,Smartphone,Nokia,2007.0,Symbian OS,9.1,,"S60 3rd Edition, version 3",
100,Nokia N76,Smartphone,Nokia,2007.0,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
101,Nokia N77,Smartphone,Nokia,2007.0,Symbian OS,9.1,,"S60 3rd Edition, version 3",
102,Nokia N78,Smartphone,Nokia,2008.0,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
103,Nokia N79,Smartphone,Nokia,2008.0,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
104,Nokia N8,Smartphone,Nokia,2010.0,Symbian^3,9.5,EKA2,"Symbian^3, version 5.2",
105,Nokia N80,Smartphone,Nokia,2006.0,Symbian OS,9.1,,"S60 3rd Edition, version 3",
106,Nokia N81,Smartphone,Nokia,2007.0,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
107,Nokia N81 8GB,Smartphone,Nokia,2007.0,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
108,Nokia N82,Smartphone,Nokia,2007.0,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
109,Nokia N85,Smartphone,Nokia,2008.0,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
110,Nokia N86 8MP,Smartphone,Nokia,2009.0,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
111,Nokia N90,Smartphone,Nokia,2005.0,Symbian OS,8.1a,EKA1,"S60 2nd Edition, Feature Pack 3, version 2.8",
112,Nokia N91,Smartphone,Nokia,2006.0,Symbian OS,9.1,,"S60 3rd Edition, version 3",
113,Nokia N91 8GB,Smartphone,Nokia,2006.0,Symbian OS,9.1,,"S60 3rd Edition, version 3",
114,Nokia N92,Smartphone,Nokia,2006.0,Symbian OS,9.1,,"S60 3rd Edition, version 3",
115,Nokia N93,Smartphone,Nokia,2006.0,Symbian OS,9.1,,"S60 3rd Edition, version 3",
116,Nokia N93i,Smartphone,Nokia,2007.0,Symbian OS,9.1,,"S60 3rd Edition, version 3",
117,Nokia N95,Smartphone,Nokia,2007.0,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
118,Nokia N95 8GB,Smartphone,Nokia,2007.0,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
119,Nokia N96,Smartphone,Nokia,2008.0,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
120,Nokia N97,Smartphone,Nokia,2009.0,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",
121,Nokia N97 mini,Smartphone,Nokia,2009.0,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",
122,Nokia X5-00,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
123,Nokia X5-01,Smartphone,Nokia,,Symbian OS,9.3,,"S60 3rd Edition, Feature Pack 2, version 3.2",
124,Nokia X6-00,Smartphone,Nokia,2009.0,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",First S60 capacative touchscreen
125,Nokia N-Gage,Smartphone and game console,Nokia,,Symbian OS,6.1,,"S60 1st Edition, Feature Pack 1, version 1.2",
126,Nokia N-Gage QD,Smartphone and game console,Nokia,,Symbian OS,6.1,,"S60 1st Edition, Feature Pack 1, version 1.2",
127,Panasonic X700,Smartphone,Panasonic,,Symbian OS,7.0s,,"S60 2nd Edition, version 2",
128,Panasonic X800,Smartphone,Panasonic,,Symbian OS,7.0s,,"S60 2nd Edition, version 2",
129,Samsung i8910,Smartphone,Samsung,,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",
130,Samsung SGH-D720,Smartphone,Samsung,,Symbian OS,7.0s,,"S60 2nd Edition, version 2",
131,Samsung SGH-D728,Smartphone,Samsung,,Symbian OS,7.0s,,"S60 2nd Edition, version 2",
132,Samsung SGH-D730,Smartphone,Samsung,,Symbian OS,7.0s,,"S60 2nd Edition, version 2",
133,Samsung SGH-G810,Smartphone,Samsung,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
134,Samsung SGH-i400,Smartphone,Samsung,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
135,Samsung SGH-i408,Smartphone,Samsung,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
136,Samsung SGH-i450,Smartphone,Samsung,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
137,Samsung SGH-i458,Smartphone,Samsung,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
138,Samsung SGH-i520,Smartphone,Samsung,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
139,Samsung SGH-i550,Smartphone,Samsung,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
140,Samsung SGH-i550w,Smartphone,Samsung,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
141,Samsung SGH-i560,Smartphone,Samsung,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
142,Samsung SGH-i568,Smartphone,Samsung,,Symbian OS,9.2,,"S60 3rd Edition, Feature Pack 1, version 3.1",
143,Samsung SGH-i570,Smartphone,Samsung,,Symbian OS,9.1,,"S60 3rd Edition, version 3",
144,Samsung SGH-Z600,Smartphone,Samsung,,Symbian OS,7.0s,,"S60 2nd Edition, version 2",
145,Sendo X,Smartphone,Sendo,,Symbian OS,6.1,,"S60 1st Edition, Feature Pack 1, version 1.2",
146,Sendo X2,Smartphone,Sendo,,Symbian OS,6.1,,"S60 1st Edition, Feature Pack 1, version 1.2","canceled, because Sendo went into administration"
147,DoCoMo SH-07B,Feature phone,Sharp,,Symbian^2,9.5,EKA2,MOAP(S),
148,Siemens SX1,Smartphone,Siemens,,Symbian OS,6.1,,"S60 1st Edition, Feature Pack 1, version 1.2",
149,Sony Ericsson G700,Smartphone,Sony Ericsson,,Symbian OS,9.1,,UIQ 3.0,
150,Sony Ericsson G900,Smartphone,Sony Ericsson,,Symbian OS,9.1,,UIQ 3.0,
151,Sony Ericsson M600,Smartphone,Sony Ericsson,,Symbian OS,9.1,,UIQ 3.0,
152,Sony Ericsson P800,Smartphone,Sony Ericsson,,Symbian OS,7.0,,UIQ 2.0,First model with UIQ 2.0
153,Sony Ericsson P900,Smartphone,Sony Ericsson,,Symbian OS,7.0,,UIQ 2.1,
154,Sony Ericsson P910,Smartphone,Sony Ericsson,,Symbian OS,7.0,,UIQ 2.1,
155,Sony Ericsson P990,Smartphone,Sony Ericsson,,Symbian OS,9.1,,UIQ 3.0,First model with UIQ 3.0
156,Sony Ericsson P1,Smartphone,Sony Ericsson,,Symbian OS,9.1,,UIQ 3.0,
157,Sony Ericsson W950,Smartphone,Sony Ericsson,,Symbian OS,9.1,,UIQ 3.0,
158,Sony Ericsson W960,Smartphone,Sony Ericsson,,Symbian OS,9.1,,UIQ 3.0,
159,Sony Ericsson Satio,Smartphone,Sony Ericsson,,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",
160,Sony Ericsson Vivaz,Smartphone,Sony Ericsson,,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",
161,Sony Ericsson Vivaz Pro,Smartphone,Sony Ericsson,,Symbian^1,9.4,EKA2,"S60 5th Edition, version 5",
