,Company,Software,On-demandscan,On-accessscan,Boot-timescans,Heuristics,CloudAV,Firewall,IDS,IPS,Sandbox,Email Security,AntiSpam,Web protection,Macro protection,LiveUpdate,Support,Settings Import/Export,installer/ updater MIMA safe,License,Price,First release,Country of origin,Original author/s,Notes
32,Microsoft,Windows Defender,Yes,Yes,No,No Only Windows 10,No,No excepting Windows Firewall[6],No,No,?,No,No,No,No,Yes,Yes,No,?,Proprietary,Free,2012,United States,,
33,NANO Security Ltd,NANO Antivirus,Yes,Yes,No,Yes,No,No,No,No,?,Yes,No,Yes,No,Yes,Yes,No,?,Proprietary,Free,2009,Russia,,
34,Panda Security,Panda Antivirus Pro,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?,No,Yes,No,Yes,Yes,Yes,?,?,Proprietary,Non-free,1990,Spain,Mikel Urizarbarrena,
35,Panda Security,Panda Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Non-free,2002,Spain,Mikel Urizarbarrena,
36,Panda Security,Panda Antivirus Free,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?,No,No,Yes,Yes,Yes,Yes,?,?,Proprietary,Trialware,2009,Spain,,
37,Qihoo 360,360 Total Security,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,No,Yes,Yes,Yes,Yes,?,?,Proprietary,Free,2006,China,,
38,Quick Heal,Quick Heal Total Security,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes*,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Proprietary,Non-free,1995,India,,*Browser Sandbox only.
39,Sophos,Sophos Anti-Virus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,Yes,No,No,Yes,Yes,Yes,?,?,Proprietary,Non-free,1988,United Kingdom,Jan Hruska and Peter Lammer,
40,Sophos,Sophos EndUser Protection,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Non-free,2000,United Kingdom,Jan Hruska and Peter Lammer,
41,Symantec,Norton Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Non-free,2000,United States,,Whitelists FBI backdoor scandal[7][8]
42,Symantec (originally PC Tools),Spyware Doctor with AntiVirus,Yes,Yes,No,No,No,No,No,No,?,No,No,Yes,No,Yes,No,?,?,Proprietary,Non-free,2003,United States,,
43,Trend Micro,Titanium Antivirus Plus,Yes,Yes,Yes,Yes,No,No,No,No,?,No,Yes,No,No,Yes,Yes,?,?,Proprietary,Non-free,1990,Japan,,
44,Trend Micro,Titanium Internet Security,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,No,Yes,No,Yes,Yes,?,?,Proprietary,Non-free,2008,Japan,,
45,TrustPort,TrustPort Antivirus,Yes,Yes,No,Yes,No,Yes,No,No,?,Yes,Yes,Yes,No,Yes,Yes,?,?,Proprietary,Trialware,2008,Czech Republic,,Third-party antivirus engine (?)
46,TrustPort,TrustPort Internet Security,Yes,Yes,No,Yes,No,Yes,No,No,?,Yes,Yes,Yes,No,Yes,Yes,?,?,Proprietary,Trialware,2008,Czech Republic,,Third-party antivirus engine (?)
47,TrustPort,TrustPort Total Protection,Yes,Yes,No,Yes,No,Yes,No,No,?,Yes,Yes,Yes,No,Yes,Yes,?,?,Proprietary,Trialware,2008,Czech Republic,,Third-party antivirus engine (?)
48,VirusBlokAda,Vba32 AntiVirus,Yes,Yes,No,No,No,No,No,No,?,No,No,No,No,No,No,?,?,Proprietary,Non-free,2010,Belarus,,
49,Webroot,SecureAnywhere AntiVirus,Yes,Yes,No,Yes,Yes,Yes,No,Yes,?,No,No,Yes,No,Yes,Yes,?,?,Proprietary,Trialware,2011,United States,,
50,Webroot,SecureAnywhere Internet Security Plus and Complete,Yes,Yes,No,Yes,Yes,Yes,No,Yes,?,No,No,Yes,No,Yes,Yes,?,?,Proprietary,Non-free,2011,United States,,
51,Company,Software,On-demand scan,On-access scan,Boot-time scans,Heuristics,CloudAV,Firewall,IDS,IPS,Sandbox,Email Security,AntiSpam,Web protection,Macro protection,Live-Update,Support,Settings Import/Export,installer/ updater MIMA safe,License,Price,First release,Country of origin,Original author/s,Notes
