,Product,Creator,Platform,First public release,Latest stable version,Software license
42,M-Power,mrc,cross-platform (Java),2004,,Proprietary
43,Microsoft Visual Studio LightSwitch,Microsoft,Windows,2011,2011-07-26,Proprietary
44,"MinuteProject (Velocity, DB, WSDL)",Florian Adler,cross-platform (Java),2004,0.8.3 / 2013-06-05,"Apache License 2.0, GPL"
45,MOLGENIS,Morris Swertz[9],cross-platform (Java),2004,3.3,LGPLv3
46,NoORM,Ulf Pietruschka,cross-platform (Java),2013,1.0.0 / 2013-11-19,Apache License 2.0
47,OpenMDX,,cross-platform (Java),2004-01-28,2.4 / 2009-03-26,BSD
48,OutSystems Platform,OutSystems,"cross-platform (.NET, Java)",2001,10.0 / 2016-10-04[10],Proprietary
49,Application Builder,projecz.com,PHP,2014,1.0 / 2014-03-20,Proprietary
50,PHPRunner,Xlinesoft,Windows,2003,5.3 / 2010-10-15,Proprietary
51,Radarc Online,Icinetic,"Android, iOS, Windows (C#/XAML, Java, Objective C)",2012,1.2.0 / 2014-11-04,Proprietary
52,Reegenerator,Kodeo Limited,"Windows (C#, VB.NET)",2010,2.0.5 / 2014-01-26,Proprietary
53,ribosome,Martin Sustrik,"cross-platform (Ruby, JavaScript or Python)",2014,1.15 / 2015-07-08,MIT
54,Scriptcase,Scriptcase,Web - Online,2000,9.4 / 2019-08-01,Proprietary
55,T4,Microsoft,Windows,2005,2010,Proprietary
56,Telosys [11],OW2,cross-platform (Java : CLI and Eclipse Plugin),2011,3.0.0 / 2018-04-10,LGPLv3
57,Umple,University of Ottawa,cross-platform (Java / Eclipse),2010,1.23.0 / 2015-12-21,MIT
58,Velocity apache,Apache Software Foundation,cross-platform (Java),,1.6.2 / 2009-03-19,Apache License 2.0
59,WaveMaker,WaveMaker Inc.,cross platform (aPaaS),2003,10.0.3,Proprietary
60,X2X,Triple-S GmbH,Windows,2005,X2X-2015,Proprietary
61,XACT X4MR,Applied Conversion Technologies Inc,Virtual DOS,1994,3 / 1997-08-01,Proprietary
62,Yii-gii,Yii community,Yii (PHP),2013-12-1,2.0.15 / 2018.03.20,New BSD License
63,ZumCoder MDD/MDA/ Template Based,Agen Consultoria – Adilson de ALmeida Pedro,Web – Online,,1.0,Proprietary
