,IDE,Widget toolkit,Platform,Compilers,Open Source,Made in D,Notes
10,Operating systems,Windows Xbox OS,,,,,
11,Software,Office Office 365 Mobile Servers Visual Studio,,,,,
12,Web properties,Azure Bing Channel 9 CodePlex Developer Network Docs MSN Mixer Office.com OneDrive Outlook.com Store TechNet Translator,,,,,
13,Company,Conferences Build Ignite Inspire (formerly TechEd) MIX PDC WinHEC Divisions Engineering groups Mobile Skype unit Digital Crimes Unit Garage Press Research .NET Foundation Outercurve Foundation Xbox Game Studios Estates Microsoft Redmond campus Microsoft Talo Microsoft Algeria Microsoft Egypt Microsoft India Microsoft Japan Microsoft Theater,,,,,
14,Conferences,Build Ignite Inspire (formerly TechEd) MIX PDC WinHEC,,,,,
15,Divisions,Engineering groups Mobile Skype unit Digital Crimes Unit Garage Press Research .NET Foundation Outercurve Foundation Xbox Game Studios,,,,,
16,Estates,Microsoft Redmond campus Microsoft Talo Microsoft Algeria Microsoft Egypt Microsoft India Microsoft Japan Microsoft Theater,,,,,
17,Campaigns,Where do you want to go today? (1994) Champagne (2002) Mojave Experiment (2006) I'm a PC (2008) Scroogled (2012),,,,,
18,Criticism,Bundling of Microsoft Windows Clippy iLoo Internet Explorer Microsoft Bob _NSAKEY Windows XP Vista 10,,,,,
19,Litigation,Alcatel-Lucent v. Microsoft Apple v. Microsoft European Union Microsoft competition case Microsoft v. Lindows Microsoft v. MikeRoweSoft Microsoft v. Shah United States v. Microsoft (2001 antitrust case) Microsoft Ireland case,,,,,
20,Acquisitions,6Wunderkinder Altamira Software AltspaceVR aQuantive Azyxxi The Blue Ribbon SoundWorks Beam Bungie Calista Technologies Colloquis Connectix Consumers Software Danger Farecast FASA Studio Fast Search & Transfer Firefly Forethought GIANT Company Software GitHub GreenButton Groove Networks High Heat Major League Baseball Hotmail Jellyfish.com LinkedIn LinkExchange Lionhead Studios Maluuba Massive Incorporated Mobile Data Labs Mojang Nokia Devices and Services Onfolio Pando Networks Perceptive Pixel PlaceWare Powerset ProClarity Rare Revolution Analytics ScreenTonic Secure Islands Simplygon Skype Sunrise Atelier SwiftKey Winternals Software Teleo Telekinesys Research Tellme Networks Twisted Pixel Games Vermeer Technologies Visio Corporation Vivaty VoloMetrix VXtreme WebTV Networks Xamarin Yammer Yupi,,,,,
21,Category,Category,Category,,,,
22,NetBeans,Java Swing,"Windows, macOS, Linux, FreeBSD, Solaris, OpenIndiana, Java","DMD, LDC (LLVM), GDC (GCC)",Yes,No,"NetBeans module. NetBeans-D, under MIT License."
23,SlickEdit,Qt,"Windows, Linux, MacOS, AIX, HP-UX, Solaris, Solaris SPARC",DMD,No,No,
24,CodeLite,wxWidget,"Windows, macOS, Linux, FreeBSD, Solaris, OpenIndiana","DMD, LDC (LLVM), GDC (GCC)",Yes,No,
25,Xcode,Cocoa,macOS,"DMD, GDC (GCC)",No,No,"Xcode plugin. D for Xcode, under GPL v2."
26,MonoDevelop,GTK#,"Windows, macOS, Linux, FreeBSD, Solaris, OpenIndiana","DMD, LDC (LLVM), GDC (GCC)",Yes,No,"MonoDevelop extension. Mono-D, support VisualD projects and DUB, Can be installed on Xamarin Studio too, under Apache License."
27,KDevelop,Qt,"Windows, macOS, Linux, FreeBSD, Solaris, OpenIndiana","DMD, LDC (LLVM), GDC (GCC)",Yes,No,
28,Geany,GTK+,"Windows, macOS, Linux, FreeBSD, Solaris, OpenIndiana","DMD, LDC (LLVM), GDC (GCC)",Yes,No,Native support.
29,Code::Blocks,wxWidget,"Windows, macOS, Linux, FreeBSD, Solaris, OpenIndiana","DMD, LDC (LLVM), GDC (GCC)",Yes,No,Includes partial support.
30,Eclipse,SWT,"Windows, macOS, Linux, FreeBSD, Solaris, OpenIndiana, Java",DMD,Yes,No,Eclipse Plugin. DDT. Dropped.
