,File system,Creator,Year of introduction,Original operating system
43,UFS1,Kirk McKusick,1994,4.4BSD
44,XFS,SGI,1994,IRIX
45,HFS,IBM,1994,MVS/ESA (now z/OS)
46,FAT16X,Microsoft,1995,MS-DOS 7.0 / Windows 95
47,"Joliet (""CDFS"")",Microsoft,1995,"Microsoft Windows, Linux, ""classic"" Mac OS, and FreeBSD"
48,UDF,ISO/ECMA/OSTA,1995,
49,"FAT32, FAT32X",Microsoft,1996,MS-DOS 7.10 / Windows 95 OSR2[b]
50,QFS,Sun Microsystems,1996,Solaris
51,GPFS,IBM,1996,"AIX, Linux"
52,Be File System,"Be Inc. (D. Giampaolo, Cyril Meurillon)",1996,BeOS
53,Minix V2 FS,Andrew S. Tanenbaum,1997,MINIX 2.0
54,HFS Plus,Apple,1998,Mac OS 8.1
55,NSS,Novell,1998,NetWare 5
56,PolyServe File System (PSFS),PolyServe,1998,"Windows, Linux"
57,ODS-5,DEC,1998,OpenVMS 7.2
58,WAFL,NetApp,1998,Data ONTAP
59,ext3,Stephen Tweedie,1999,Linux
60,ISO 9660:1999,"Ecma International, ISO",1999,"Microsoft Windows, Linux, ""classic"" Mac OS, FreeBSD, and AmigaOS"
61,JFS,IBM,1999,OS/2 Warp Server for e-business
62,GFS,Sistina (Red Hat),2000,Linux
63,ReiserFS,Namesys,2001,Linux
64,zFS,IBM,2001,z/OS (backported to OS/390)
65,FATX,Microsoft,2002,Xbox
66,UFS2,Kirk McKusick,2002,FreeBSD 5.0
67,OCFS,Oracle Corporation,2002,Linux
68,SquashFS,"Phillip Lougher, Robert Lougher",2002,Linux
69,VMFS2,VMware,2002,VMware ESX Server 2.0
70,Lustre,Cluster File Systems[5],2002,Linux
71,Fossil,Bell Labs,2003,Plan 9 version 4
72,Google File System,Google,2003,Linux
73,ZFS,Sun Microsystems,2004,Solaris
74,Reiser4,Namesys,2004,Linux
75,Non-Volatile File System,"Palm, Inc.",2004,Palm OS Garnet
76,BeeGFS,Fraunhofer/ ThinkParQ,2005,"Linux, Windows via Samba"
77,GlusterFS,Gluster Inc.,2005,Linux
78,Minix V3 FS,Andrew S. Tanenbaum,2005,MINIX 3
79,OCFS2,Oracle Corporation,2005,Linux
80,NILFS,NTT,2005,Linux
81,VMFS3,VMware,2005,VMware ESX Server 3.0
82,GFS2,Red Hat,2006,Linux
83,ext4,various,2006,Linux
84,exFAT,Microsoft,2006,Windows CE 6.0
85,Btrfs,Oracle Corporation,2007,Linux
86,JXFS,Hyperion Entertainment,2008,AmigaOS 4.1
87,HAMMER,Matthew Dillon,2008,DragonFly BSD 2.0
88,LSFS,StarWind Software,2009,"Linux, FreeBSD, Windows"
89,UniFS,Nasuni,2009,Cloud
90,CASL,Nimble Storage,2010,Linux
91,OrangeFS,Omnibond and others,2011,Linux
92,VMFS5,VMware,2011,vSphere 5.0+
93,CHFS,University of Szeged,2011,NetBSD 6.0+
94,ReFS,Microsoft,2012,Windows Server 2012
95,F2FS,Samsung Electronics,2012,Linux
96,bcachefs,Kent Overstreet,2015,Linux
97,APFS,Apple,2016,"macOS High Sierra, iOS 10.3"
98,NOVA,"UC, San Diego",2017,Linux
99,HAMMER2,Matthew Dillon[6],2017,DragonFly BSD 5.0
100,EROFS,Huawei[7],2018,Android
