,Unit,Base,American,British,ANZAC,Soviet,French,German,Italian,Japanese
54,Submarine,Marconi class,,,,,,,Pacific 1940 Second Edition,
55,Submarine,Ray class,Europe,Europe,Pacific 1940,Europe,Europe 1940,,,
56,Submarine,S class,,,Pacific 1940 Second Edition,,,,,
57,Submarine,Srednyaya class,,,,Europe 1940 Second Edition,Europe 1940 Second Edition,,,
58,Submarine,Truculent,,1942 Second Edition,,,,,,
59,Submarine,U class,1941,1941,,1941,,,,
60,Submarine,Type VII,,,,,,Europe,Anniversary,
61,Cruiser,Admiral Hipper class,,,,,,Anniversary,Anniversary,
62,Cruiser,Kent class,,Anniversary,Pacific 1940,Anniversary,,,,
63,Cruiser,Kirov class,,,,1942,Europe 1940,,,
64,Cruiser,Portland class,Guadalcanal,,,,,,,
65,Cruiser,Takao class,,,,,,,,Guadalcanal
66,Cruiser,Zara class,,,,,,,Europe 1940 Second Edition,
67,Carrier,Akagi,,,,,,1941,,1941
68,Carrier,Aquila,,,,,,,Europe 1940 Second Edition,
69,Carrier,Graf Zeppelin,,,,,,Europe,Anniversary,
70,Carrier,Illustrious class,,Europe,Pacific 1940,Europe,Europe 1940,,,
71,Carrier,Kostromitinova class,1941,1941,,1941,,,,
72,Carrier,Majestic class,,,1942 Second Edition,,,,,
73,Carrier,Shinano,,,,,,,,Pacific
74,Carrier,Wasp,Europe,,,,,,,
75,Battleship,Bismarck class,,,,,,Europe,Anniversary,
76,Battleship,Gangut class,,,,1942,Europe 1940,,,
77,Battleship,Hood,1941,1941,,1941,,,,
78,Battleship,Iowa class,Europe,,,,,,,
79,Battleship,Kongo class,,,,,,1941,,1941
80,Battleship,Littorio class,,,,,,,Europe 1940 Second Edition,
81,Battleship,Royal Oak class,,Europe,Pacific 1940,Europe,,,,
82,Battleship,Warspite,,,1942 Second Edition,,,,,
83,Battleship,Yamato class,,,,,,,,Pacific
84,Fighter,C.202,,,,,,,Europe 1940 Second Edition,
85,Fighter,CA-12,,,Pacific 1940 Second Edition,,,,,
86,Fighter,Fw 190,,,,,,1941,,1941
87,Fighter,Bf 109,,,,,,Anniversary,Anniversary,
88,Fighter,MiG-3,,,,Pacific 1940 Second Edition,Pacific 1940 Second Edition,,,
89,Fighter,P-38 Lightning,Europe,,,,,,,
90,Fighter,P-40 Warhawk,1941,1941,,1941,,,,
91,Fighter,Spitfire,,Europe,Pacific 1940,,,,,
92,Fighter,Stuka,,,,,,Europe,,
93,Fighter,Wildcat,Pacific,,,,,,,
94,Fighter,Yak,,,,Europe,Europe 1940,,,
95,Fighter,Zero,,,,,,,,Pacific
96,Tactical Bomber,Dauntless,Pacific 1940,,,,,,,
97,Tactical Bomber,Mosquito,,Pacific 1940,Pacific 1940,,,,,
98,Tactical Bomber,SM.79,,,,,,,Europe 1940 Second Edition,
99,Tactical Bomber,Stuka,,,,,,Europe 1940,Europe 1940,
100,Tactical Bomber,Sturmovik,,,,Europe 1940,Europe 1940,,,
101,Tactical Bomber,TB.Mk.I,,,Pacific 1940 Second Edition,,,,,
102,Tactical Bomber,Val,,,,,,,,Pacific 1940
103,Bomber,B-17,Europe,,,,,,,
104,Bomber,Betty,,,,,,,Anniversary,Pacific
105,Bomber,Halifax,,Europe,Pacific 1940,,,,,
106,Bomber,He 111,,,,,,1941,,1941
107,Bomber,Ju 88,,,,,,Europe,Europe 1940,
108,Bomber,Lancaster,1941,1941,,1941,,,,
109,Bomber,P.108,,,,,,,Europe 1940 Second Edition,
110,Bomber,Pe-8,,,,Europe,Europe 1940,,,
111,Bomber,PV-1,,,Pacific 1940 Second Edition,,,,,
