,Name,Developer,First released,Licensing,Maintained?
66,Softraid / RAID C,OpenBSD,2007-11-01[31],BSD,Yes
67,SpyProof!,Information Security Corp.,2002,Proprietary,Yes
68,Svnd / Vnconfig,OpenBSD,2000-12-01[32],BSD,Yes
69,Symantec Endpoint Encryption,Symantec Corporation,2008,Proprietary,Yes
70,Tcplay,Alex Hornung,2012-01-28[33],BSD,Yes
71,Trend Micro Endpoint Encryption (Mobile Armor),Trend Micro[34],2004 or earlier[35],Proprietary,Yes
72,TrueCrypt,TrueCrypt Foundation,2004-02-02[36],TrueCrypt License 3.1[37],No
73,USBCrypt,WinAbility Software Corp.,2010,Proprietary,Yes
74,VeraCrypt,IDRIX,2013-06-22[38],Apache License 2.0[39] TrueCrypt License Version 3.0 (legacy code only),Yes
75,CyberSafe Top Secret,CyberSoft,2013,Proprietary,Yes
76,Name,Developer,First released,Licensing,Maintained?
