,Name,License,Cost,OS X,Unix-like,Windows,Audio,Images,Video,Transcoding,Web Interface,DLNA support,Multilingual[1],Implementation,Subtitles[2],Still Supported,Misc.
37,Skifta,Prop.,Free,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Unknown,Java,Unknown,Unknown,
38,Songbird,GPLv2,Free,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,C++,No,No[28],
39,TVble,Prop.,Free,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,C#/C++,Unknown,Yes,
40,TVersity,Prop.,Non-free[29],No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,
41,TVMOBiLi,Prop.,[30],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,C++,Yes,No,
42,TVShare,Prop.,Non-free,No,No,Yes,Yes,Yes,Yes,Yes,No,Unknown,Unknown,Java,Unknown,Unknown,
43,TwonkyMedia server,Prop.,Non-free,Yes,Yes,Yes,Yes,Yes,Yes,Partial[31],Yes,Yes,Yes,Unknown,Unknown,Yes,
44,Universal Media Server,GPL,Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Java,Yes,Yes,Based on PS3 Media Server
45,Windows Media Connect,Prop.,Free [32],No,No,Yes,Yes,Yes,Yes,Yes [33],No,Yes,Yes,Unknown,Unknown,Yes,
46,Wild Media Server,Prop.,Trialware,Yes[34],Yes[35],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Delphi,Yes,Yes,
47,xupnpd,GPLv2,Free,No,Yes,No,Yes,Unknown,Yes,No,Yes,Yes,Unknown,C++,Unknown,Unknown,
48,Yazsoft Playback,Prop.,Non-free,Yes,No,No,Yes,Yes,Yes,No,No,Unknown,Unknown,Unknown,Unknown,No,
49,Name,License,Cost,OS X,Unix-like,Windows,Audio,Images,Video,Transcoding,Web Interface,DLNA support,Multilingual[1],Implementation,Subtitles[2],Still Supported,
