,ACER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
25,Asus,Eee PC 1015PED[16],1.1 / 1.25,,10.1,1024x600 WSVGA,117,Intel Atom N455 / N475,?,,?,VGA,HDD,160 / 250 / 320 + Web Storage (500 GB),1 - 2 (DDR3),"4.5 (3-cell, 23Wh)","13 (6-cell, 63Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Starter,Eee PC 1015PED Manual,,
26,Asus,Eee PC 1015PEM[17],1.27,,10.1,1024x600 WSVGA,117,Intel Atom N550,1.5,,?,VGA,HDD,160 / 250 / 320 + Web Storage (500 GB),1 - 2 (DDR3),"10 (6-cell, 48Wh)","13 (6-cell, 63Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Starter,Eee PC 1015PEM Manual,,
27,Asus,Eee PC 1015PN[18],1.25,,10.1,1024x600 WSVGA,117,Intel Atom N570,?,,NVIDIA ION N11M-PT1,"VGA, HDMI",HDD,250 + Web Storage (500 GB),1 - 2 (DDR3),"8 (6-cell, 47Wh)","10 (6-cell, 56Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Home Premium / 7 Starter,Eee PC 1015PN Manual,,
28,Asus,Eee PC 1015T[19],1.25,,10.1,1024x600 WSVGA,117,AMD APU ?,?,,?,VGA,HDD,160 / 250 / 320,1 - 4 (DDR3),"6 (6-cell, 48Wh)","7.5 (6-cell, 63Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Starter,Eee PC 1015T Manual,,
29,Asus,Eee PC 1015B[20],1.28 / 1.3,,10.1,1024x600 WSVGA,117,AMD APU C30 / C50,1.2 / 1.0,,AMD Radeon HD 6250,"VGA, HDMI",HDD,250 / 320 / 500 + Web Storage,1 - 2 (DDR3),"3 (3-cell, 2200mAh, 23Wh)","8.5 (6-cell, 5200mAh, 56Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Starter,Eee PC 1015B Manual,,
30,Asus,Eee PC 1015BX[21],1.17 / 1.29,,10.1,1024x600 WSVGA,117,AMD APU C30 / C50 / C60,1.2 / 1.0,,AMD Radeon HD 6250 / 6290,"VGA, HDMI",HDD,250 / 320 / 500 + 3 (Web Storage),1 - 2 (DDR3),"3 (3-cell, 2200mAh, 23Wh)","7.5 (6-cell, 5200mAh, 56Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Starter,Eee PC 1015BX Manual,,
31,Asus,Eee PC 1015CX[22],1.1 / 1.25,,10.1,1024x600 WSVGA,117,Intel Atom N2600,1.6,,Intel NM10 (Chipset),"VGA, HDMI",HDD,320 / 500,1 - 2 (DDR3),"5 (3-cell, 23Wh)","11 (6-cell, 47Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Starter,Eee PC 1015CX Manual,,
32,Asus,Eee PC 1016P[23],1.13 / 1.27,,10.1,1024x600 WSVGA,117,Intel Atom N455,1.66,,Intel NM10 (Chipset),VGA,HDD,160 / 250 / 320,1 - 2 (DDR3),"4.5 (3-cell, 23Wh)","13 (6-cell, 63Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Pro 7 Home Premium,Eee PC 1016P Manual,,
33,Asus,Eee PC T91[24][25],0.9,2.1,8.9,1024×600 WSVGA touchscreen,133,Atom Z520,1.33,,GMA 500,VGA,SSD + SDHC,16 + 20 Eee Storage,1,"(Internal LiPo,? cell, 3850 mAh)",4.0,92%,0.3 MP,Touchpad 2-buttons below,?,XP Home,,,
34,Asus,Eee PC T91MT,0.96,2.1,8.9,1024×600 WSVGA touchscreen,133,Atom Z520,1.33,,GMA 500,VGA,SSD + SDHC,32 + 500 Eee Storage,1,"(Internal LiPo,? cell, 3850 mAh)",5.0,92%,0.3 MP,Touchpad 2-buttons below,?,7 Home,,,
35,Asus,Eee PC T101MT[26],1.3,2.86,10.1,1024×600 WSVGA touchscreen,117,Intel Atom N450 / N570,1.66,,GMA 3150,VGA,HDD + SDXC,160/320 + 500 Eee Storage,"1, 2","LiPo,4 cell,?, 4900 mAh 35 Wh)",6.5,?,0.3 MP,Touchpad 2-buttons below,?,7 S/HB/HP,,,
36,Asus,Eee PC 1225B[27],1.44,,11.6,1366x768 WXGA,135,AMD APU E450 / C60,1.65 / 1.0,,AMD Radeon HD 6320 / 6290,"VGA, HDMI",HDD,320 / 500 / 750 + 3 (Web Storage),1 - 4 (DDR3),"7 (6-cell, 56Wh)","7 (6-cell, 56Wh)",?,0.3 MP,Touchpad 2-buttons below,-,7 Home Premium,Eee PC 1225B Manual,,
