,Unnamed: 0,Windows,macOS,Linux,iOS,BSD,Unix,AmigaOS,Other
60,Pencil2D,Yes,Yes,Yes,,Yes,No,No,No
61,Phatch,Yes,Yes,Yes,,Yes,No,No,No
62,Photogenics,Yes,No,Yes,,No,No,Up to version 5,Pocket PC
63,PhotoLine,Yes,Yes,No,,No,No,No,ATARI ST
64,PhotoPerfect*,Yes,No,No,,No,No,No,No
65,Photos,No,Yes,No,,No,No,No,No
66,Photo Raster,Yes,Yes,Yes,,Yes,Yes,No,No
67,Picasa*,Yes,Yes,Up to version 3.0,,No,No,No,No
68,PicMaster,Yes,No,No,,No,No,No,No
69,Pinta,Yes,Yes,Yes,,Yes,Yes,No,No
70,PixBuilder Photo Editor,Yes,No,No,,No,No,No,No
71,Pixelmator,No,Yes,No,,No,No,No,No
72,Pixen,No,Yes,No,,No,No,No,No
73,Pixia,Yes,No,No,,No,No,No,No
74,PMview,Yes,No,No,,No,No,No,OS/2
75,Project Dogwaffle,Yes,No,No,,No,No,No,No
76,QFX,Yes,No,No,,No,No,No,DOS 3.3 and up
77,Rawstudio,No,Yes,Yes,,Yes,No,No,No
78,RawTherapee,Yes,Yes,Yes,,No,No,No,No
79,Seashore,No,Yes,No,,No,No,No,No
80,Serif PhotoPlus,Yes,No,No,,No,No,No,No
81,Shotwell,No,No,Yes,,Yes,No,No,No
82,Tux Paint,Yes,Yes,Yes,,Yes,Yes,No,No
83,TVPaint,Yes,Yes,Yes,,No,No,Up to version 3.59[15],No
84,UFRaw,Yes,Yes,Yes,,Yes,No,No,No
85,Ulead PhotoImpact*,Yes,No,No,,No,No,No,No
86,Ultimate Paint*,Yes,No,No,,No,No,No,No
87,WinImages,Yes,No,No,,No,No,No,No
88,Xara Photo & Graphic Designer,Yes,No,No,,No,No,No,No
89,XnView,Yes,Yes,Yes,,No,No,No,varying[16]
90,XPaint,No,Yes,Yes,,Yes,Yes,No,IBM AIX
91,Zoner Photo Studio,Yes,No,No,,No,No,No,No
