,Unnamed: 0,Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
50,Krita,Digital painting oriented free and open-source raster graphic editor with vector support. KDE/Calligra based.,KDE,2005,4.2.2,"June 27, 2019",,GPL
51,LazPaint,Free multiplatform layered image editor,circular,2011,6.2,,,GPL
52,LiveQuartz,Basic multi-layer photo editor,Romain Piveteau,2005,2.8,"December 1, 2018",,Proprietary
53,MacPaint*,Obsolete basic editor,Bill Atkinson,1984,2.0,,,Proprietary
54,Microsoft Office Picture Manager*,Basic image editor,Microsoft,2002,14.0,,,Proprietary
55,Microsoft Paint,Basic graphic creator and editor packaged with Microsoft Windows operating systems,Microsoft,1985,6.1,,,Proprietary
56,Microsoft Photo Editor*,Obsolete basic image editor for Windows,Microsoft,2000,3.01,,,Proprietary
57,mtPaint,pixel art and photo editing application,Mark Tyler,"September 13, 2004",3.40,,free,GPL3
58,MyPaint,Digital painting application,Martin Renold,"March 12, 2005",1.2.1,,free,GPL2
59,OpenCanvas,,Portalgraphics,2000,4,,,Proprietary
60,paint.net,Freeware image editor and graphics creator based on the .Net framework,"Rick Brewster, et al.","May 6, 2004",4.0.19 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP),"October 2, 2017",,Freeware[5][6]
61,Paint Tool SAI*,Simple and lightweight painting software,Systemax Software,"February 25, 2008",1.2.5,"April 25, 2016",~$50 (5500JPY),Proprietary
62,PC Paintbrush*,Obsolete basic editor,ZSoft Corporation,1984,5,,,Proprietary
63,Pencil2D,2D graphical animation software.,Pascal Naidon,,0.4.4,,,GPL
64,Phatch,Editor for batch processing digital graphics and photographs.,Stani Michiels,,0.2.7,,,GPL
65,Photogenics,Made to create 32-bit HDRs,Idruna Software Inc.,1995,HDR 7.0,,,Proprietary
66,PhotoLine,Image editor with advanced features,Computerinsel (Germany),1995,20.53,2018,€59,Proprietary
67,PhotoPerfect*,Image editor with some advanced features,"Arcadia Software AG, Joachim Koopmann Software",2002,2.9,,,Proprietary
68,Photos,Image organizer and basic editor for macOS; replaced iPhoto from OS X 10.10.3 onwards,Apple Inc.,2014,1.0,,,Proprietary
69,Photo Raster,Advanced online photo editor,David Levinsky,2012,0.9,,,Proprietary
70,Picasa*,"Efficient image organizer with basic editing tools, other image effects",Google,2002,3.9.141.259,"October 9, 2015",Discontinued,Freeware
71,PicMaster,"Has 300 filter effects, slide show, poster printing, mosaics, true 3D, more",Alexander Sabov,December 1999,4.03,,,Proprietary
72,Pinta,"Mid-level Free and Open Source raster graphics editor, based on Paint.Net",Jonathan Pobst,"February 7, 2010",1.5,,,MIT
73,PixBuilder Photo Editor,,WnSoft Graphic Software,June 2005,1.31,,,Proprietary
74,Pixelmator,Image editor and graphics creator for macOS,Pixelmator Team ltd.,"September 25, 2007",3.0,,,Proprietary
75,Pixen,Pixel art and sprite editor for macOS,Open Sword Group,,3.8,,,Proprietary
76,Pixia,Originally designed for Anime/Manga art.,Isao Maruoka,1998,4.70d,,,Proprietary
77,PMview,Fast image viewer with basic editing functions,Peter Nielsen,1992,3.80 (2017),,,Proprietary
78,Project Dogwaffle,Dan Ritchie retired but others continue active development[7],Dan Ritchie,1997,2011 (7.0) (1.2 available as freeware),,,Proprietary
79,QFX,Mature and complete image editing package,Ron Scott,1990,8,,,Proprietary
80,Rawstudio,Raw image processor.,Anders Brander & Anders Kvist,"June 22, 2006",2.0,,,GPL 2
81,RawTherapee,"Powerful free and cross-platform raw image editor, for developing raw photos from digital cameras.",Gabor Horvath,"September 21, 2006",4.0.11,,,GPL
82,Seashore,"Basic counterpart to GIMP, using its XCF format; full support for a few graphics formats",Mark Pazolli,"January 16, 2003",2.4.0,,,GPLv2
