,Title,Status,Graphics,Setting,Subscription model,Initial release date,Discontinued date,Distribution,Notes
60,EVE Online,Active,3D,Science fiction,Freemium,2003,,Steam,"Space vehicle piloting, trading, and business management"
61,EverQuest,Active,3D,Fantasy,Freemium,1999,,Steam,Formerly pay-to-play
62,EverQuest II,Active,3D,Fantasy,Freemium,2004,,Steam,Sequel to EverQuest
63,EverQuest Next,Cancelled,3D,Fantasy,,,,,"Active, open world, Multiplatform: PC, PlayStation 4. Cancelled as of 2016"
64,Face of Mankind,,3D,Science fiction,Freemium,2009,2015-09-03,,
65,Fallen Earth,,3D,Post-apocalyptic,Freemium,2009,2019-10-14,,
66,Fantage,Closed,2D,Fantasy,Freemium,2008,2018-06-30,,Browser-based
67,Fantasy Earth Zero,Closed,3D,Fantasy,Free-to-play,2006,2013,,50vs50 PvP-oriented gameplay
68,Fantasy Westward Journey,,2D,Fantasy (Chinese),Free-to-play,2004,,,Inspired by Journey to the West
69,Fiesta Online,,3D,Fantasy,Free-to-play,2007,,,
70,Final Fantasy XI,Active,3D,Fantasy,Pay-to-play,2002,,,"Multiplatform: PC, PlayStation 2, Xbox 360"
71,Final Fantasy XIV: A Realm Reborn,Active,3D,Fantasy,Pay-to-play,2013,,Steam,"Relaunch of Final Fantasy XIV. Now known as Final Fantasy XIV: Shadowbringers with latest expansion. Multiplatform: PC, PlayStation 3, PlayStation 4"
72,Firefall,Closed,3D,Science fiction,Free-to-play,2014,2017-07-07,,First-person/third-person shooter
73,Flyff,Active,3D,Fantasy,Freemium,2005,,,
74,Fragoria,,3D,Fantasy,Freemium,2011,,,Browser-based
75,Free Realms,Closed,3D,Fantasy,Free-to-play,2009-04-28,2014-03-31,,
76,Gekkeiju Online,,3D,Medieval fantasy,Free-to-play,2003,,,"Anime-based. New version in 2010 with """"Occulus Rift"""" support"
77,GodsWar Online,,3D,Mythology (Greek),Free-to-play,2009,,,
78,Granado Espada,,3D,Historical fantasy (Age of Exploration),Pay-to-play,2007,,,
79,Grand Chase,Closed,2D,Fantasy,Free-to-play,2003,2015-04-15,,Client download required
80,Guild Wars,Active,3D,Fantasy,Buy-to-Play,2005,,Steam,
81,Guild Wars 2,Active,3D,Fantasy,Free-to-play / Buy-to-play,2012,,Launcher,"Manual aim action combat (guided, optional); Sequel to Guild Wars"
82,Hello Kitty Online,,3D,Cartoon,Free-to-play,2009,,,Client download required.
83,Hero Online,,3D,Mythology (Chinese),Free-to-play,2006,,,
84,Identity,,3D,Fantasy,,,,,
85,Illyriad,Active,2D,Fantasy,Free-to-play,2011,,,Browser Based
86,Infantry Online,,2D,Science Fiction,Free-to-play,1999,,,
87,Istaria: Chronicles of the Gifted,,3D,Fantasy,Free-to-play / Pay-to-play,2003,,,Name changed from Horizons
88,Jade Dynasty,,3D,"Fantasy, martial arts",Freemium,2008,,,Latest expansion in 2013
89,Kal Online,,3D,Fantasy,Freemium,2004,,,
90,Knight Online,Active,3D,Fantasy,Free-to-play,2004,,Steam,
91,LaTale,,2D (side-scrolling),Fantasy,Freemium,2009,2010,,
92,The Legend of Ares,,3D,Fantasy,Free-to-play,2007,2009-05,,
93,The Legend of Mir 2,,2D (sprite-based),Fantasy,Free-to-play,2001,,,
94,The Legend of Mir 3,,2D (sprite-based),Fantasy,Pay-to-play,2004,,,Sequel to The Legend of Mir 2
95,Lineage,Closed,2D (sprite-based),Fantasy,Pay-to-play,1998,2011,,"North American servers shut down on June 29, 2011."
96,Lineage II,Active,3D,Fantasy,Freemium,2003,,,"Sequel to Lineage, formerly pay-to-play until the 2011 expansion"
97,Lineage III,Development,3D,Fantasy,,TBA,,,Sequel to Lineage II
98,Little Space Heroes,,2D,Kids,Freemium,2011,2015,,
99,The Lord of the Rings Online,Active,3D,Fantasy,Freemium,2007,,Steam,
100,Love,,3D,Fantasy,Free-to-play,2010,,,Builder
101,Mabinogi,Active,3D,"Fantasy, mythology (Welsh)",Free-to-play,2004,,Steam,
102,MapleStory,Active,2D (side-scrolling),Fantasy,Free-to-play,2003,,,
103,MapleStory 2,Active,3D,Fantasy,Free-to-play,2015,,,Sequel to MapleStory
104,Marvel Heroes,,3D,Superheroes,Free-to-play,2013,2017-11-27,,
105,Matrix Online,,3D,Science fiction,Pay-to-play,2005-03-22,2009-07-31,,
106,Meridian 59,,3D,Fantasy,Free-to-play,1995,,,Formerly pay-to-play
107,Metin 2,,3D,Fantasy,Freemium,2004,,,
108,Minions of Mirth,,3D,Fantasy,Freemium,2005,,,
109,MonsterMMORPG,,2D,Fantasy,Free-to-play,2009,,,Browser-based
110,Mortal Online,Active,3D,Fantasy,Free-to-play,2010,,Steam,Formerly pay-to-play
111,MU Online,Active,3D,Medieval fantasy,Free-to-play,2003,,,
112,Myst Online,,3D,Ancient Fantasy,Free-to-play,2007,,,Open source; formerly pay-to-play
113,Mythos,,3D,Fantasy,Free-to-play,2011,2014-01-22,,
114,Neocron,,3D,Cyberpunk,Free-to-play,2002,,,"FPS-style gameplay, second installment run by the game's community"
115,Neverwinter,Active,3D,Fantasy,Freemium,2013,,Steam,Manual aim action combat
116,New World,Development,3D,Fantasy,TBA,TBA,,,
117,Nexus: The Kingdom of the Winds,,2D (sprite-based; overhead),Mythology (Korean),Pay-to-play,1996,,,
118,Omerta,Active,Text,Mafia,Free-to-play,2003,,,
119,Pantheon: Rise of the Fallen,Development,3D,Fantasy,,,,,Spiritual successor to the original EverQuest
120,Parallel Kingdom,,3D,Fantasy,Freemium,2008,,,
121,Pardus,,2D,Science fiction,Free-to-play,2004,,,"Browser-based, space war and trading game"
122,Perfect World,Active,3D,Fantasy (Chinese),Freemium,2005,,,Latest expansion in 2013
123,Perpetuum[4][5],Closed,3D,Science fiction,Buy-to-play,2010,,,Persistent sandbox MMORPG. Formerly a subscription[6]
124,Phantasy Star Online 2,,3D,Science Fiction,Freemium,2012,,,
125,Phoenix Dynasty Online,Closed,2D,Fantasy,Free-to-play,2007,2010-12-08,,
126,Pirate101,Active,3D,"Fantasy, kids",Freemium,2012,,,"Pirate game, kid-safe chat"
127,Pirates of the Burning Sea,,3D,Historical (maritime),Free-to-play,2008,,,
128,Pirates of the Caribbean Online,Closed,3D,Adventure,Free-to-play,2007,2013-09-01,,
129,PlaneShift,,3D,Fantasy,Free-to-play,2000,,,Open source
130,Poptropica,Active,2D (side-scrolling),"Cartoon, kids",Freemium,2007,,,"Browser-based, no downloadable client required"
131,Priston Tale,,3D,Fantasy,Freemium,2001,,,
132,Priston Tale 2,,3D,Fantasy,Freemium,2008,2013,,
133,Puppet Guardian,,2D (isometric; adventure),Fantasy,Free-to-play,2007,,,
134,Puzzle Pirates,,2D,Fantasy,Free-to-play,2003,,,
135,Ragnarok Online,Active,2D/3D[7],"Fantasy, mythology (Norse/mixed)",Freemium/Pay-to-play (Depending on the server),2002,,Steam,
136,Ragnarok Online 2,Active,3D,Fantasy,Free-to-play,2012,,Steam,Sequel to Ragnarok Online
137,Ran Online,,3D,Campus fantasy,Freemium,2004,,,
138,Realm of the Mad God,Active,2D,Fantasy,Free-to-play,2011,,Steam,Browser-based
139,The Realm Online,,2D (sprite-based),Fantasy,Pay-to-play,1996,,,
140,Red Stone,,2D,Fantasy,Free-to-play,2004,,,
141,Regnum Online,,3D,Medieval fantasy,Freemium,2007,,,
142,Requiem: Memento Mori,,3D,Dark fantasy,Free-to-play,2008,,,
143,RF Online,,3D,Science fiction,Pay-to-play,2006,,,
144,Rift,Active,3D,Fantasy,Free-to-play,2011,,Steam,Formerly pay-to-play
145,Rohan: Blood Feud,,3D,Fantasy,Freemium,2008,,,
146,ROSE Online,,3D,Fantasy,Freemium,2005,,,
147,Rubies of Eventide,,3D,Medieval fantasy,Free-to-play,2003,2009,,
148,Runes of Magic,,3D,Medieval fantasy,Freemium,2009,,,
149,RuneScape,Active,3D,Medieval fantasy,Freemium with subscription model,2001,,Standalone,"Browser-based, Java and HTML 5. Optional membership will unlock more skills and quests. Currently 2 separate games, RuneScape 3 (""current"" game) and Oldschool RuneScape (game as it was circa 2007)."
150,Rusty Hearts,,3D,Fantasy,Free-to-play,2011,2014,,Hack and slash
151,Ryzom,Active,3D,Science fantasy,Freemium,2004,,Steam,"Free-to-play (up to level 125), pay-to-play (to max level). Open source"
152,Salem,Active,3D,Historical (17th century) fantasy,Free-to-play,2012,,Standalone,Crafting-based
153,Sangokushi Online,,3D,Historical (Chinese),Pay-to-play,2008,2010-07-19,,Part of the Romance of the Three Kingdoms series by Koei
154,Scions of Fate or Yulgang,,3D,Fantasy,Free-to-play,2005,,,
155,Seal Online,,3D,Fantasy,Freemium,2003,,,
156,The Secret World,,3D,Modern,Buy-to-play,2012,,Steam,Formerly pay-to-play
157,Shadowbane,,3D,Fantasy,Pay-to-play,2003-03-25,2009-07-01,,"Switched to ""free-to-play"" in March 15, 2006, supported by ads"
158,Shin Megami Tensei: Imagine,,3D,Fantasy,Free-to-play,2007,,,
159,Shot-Online,,3D,Sports (golf),Freemium,2004,,,
160,Shroud of the Avatar: Forsaken Virtues,,3D,Fantasy,Buy-to-play,2018,,,Spiritual successor to the Ultima series
161,Silkroad Online,Active,3D,Fantasy,Free-to-play,2005,,,
162,Skyforge,Active,3D,Fantasy (Mythic/Sci-fi),Freemium,2015,,,Russian-based developers. Manual aim action combat
163,Soul of the Ultimate Nation,Closed,3D,Fantasy,Pay-to-play,2007,2013-07-03,,
164,Spiral Knights,Active,3D,Fantasy,Freemium,2009,,,Java
165,StarQuest Online,Closed,3D,Science fiction,Free-to-play,2007,2014,,Downloadable client (Windows)
166,Star Trek Online,,3D,Science fiction,Freemium,2010,,,"Switched to ""free-to-play"" in January 17, 2012"
167,Star Wars Galaxies,Closed,3D,Science fiction,Pay-to-play,2003-06-26,2011-12-15,,"The first Star Wars MMORPG used a ""sandbox"" approach with a totally player-driven economy"
168,Star Wars: The Old Republic,Active,3D,Science fiction,Freemium,2011,,Standalone,"Spiritual sequel of 2003's Game of the year Star Wars: Knights of the Old Republic, formerly pay-to-play"
169,Stellar Dawn,Development paused,3D,Science fiction,,,,,"Development started back in 2006 as Mechscape, which was scrapped in 2009. In 2010 Stellar Dawn was announced, though in March 2012 the development was paused so the developer, Jagex, could focus on their other games."
170,Tabula Rasa,Closed,3D,Science Fiction,Pay-to-play,2007,2009,,
171,A Tale in the Desert,Active,3D,Mythology (Egyptian),Pay-to-play,2003,,Standalone,Non-combat-oriented RPG
172,Tales of Pirates,Closed,3D,Fantasy (Maritime),Free-to-play,2007,2016-29-02,,During 2010 server data was transferred to a revamped client called Tales of Pirates II
173,TERA: Rising,Active,3D,Fantasy,Freemium,2011,,Steam,Manual aim action combat (True Action combat)
174,Terra,,3D,Science fiction,Free-to-play,1996,,,
175,Tibia,Active,2D (sprite-based; overhead),Fantasy,Free-to-play,1997,,,"Downloadable client (Windows, Linux)."
176,Toontown Online,Closed,3D,"Fantasy, Cartoon",Freemium,2003,2013-09-19,,"MMORPG designed for families to play, mostly targeted towards children."
177,Toontown Rewritten,Active,3D,"Fantasy, Cartoon",Free-to-play,2014,,Standalone,"MMORPG designed for families to play, mostly targeted towards children. Fan-made revival of Toontown Online, created using publicly available downloads and information made freely available to the general public."
178,Trove,Active,3D,"Fantasy, Cartoon",Freemium,2013,,,
179,Twelve Sky,,3D,Fantasy,Free-to-play,2007,,,
180,Twelve Sky 2,,3D,Fantasy,Free-to-play,2008,,,
181,Ultima Online,Active,2D/3D,Medieval fantasy,Subscription,1997,,,The term MMORPG was first coined by Ultima Online creator Richard Garriott in 1997.[8]
182,Uncharted Waters Online,,3D,Historical (maritime),Free-to-play (on international server),2005,,,
183,Underlight,,3D,Fantasy (Dream),Free-to-play,1998,,,Original servers were shut down in December 2006. Re-launched in September 2014 by KoiWare.
184,Vanguard: Saga of Heroes,Closed,3D,Fantasy,Pay-to-play,2007-01-30,2014-07-31,,
185,Vendetta Online,,3D,Science fiction,Pay-to-play,2004,,,Space vehicle piloting and twitch-based interface
186,Vindictus,Active,3D,Fantasy (Celtic),Free-to-play,2010,,Steam,Manual aim action combat
187,Voyage Century Online,,3D,Historical (maritime),Free-to-play,2006,,,
188,Wakfu,,2D (isometric),Fantasy,Freemium,2012,,,"Downloadable client (Windows, Mac, Linux). Tactical combat."
189,Warhammer Online: Age of Reckoning,Closed,3D,Fantasy,Freemium,2008,2013-12-18,,
190,WildStar,Closed,3D,"Fantasy, Science fiction",Free-to-play,2014,2018-11-28,,"Manual aim action combat (telegraphed). Became Free-to-play on September 29, 2015"
191,With Your Destiny,,3D,Fantasy (Scandinavian),Free-to-play,2003,,,
192,Wizard101,Active,3D,"Fantasy, kids",Freemium,2008,,,"Wizard game with cards, kid-safe chat"
193,Wizardry Online,,3D,Fantasy,Freemium,2013,2014,,Based on Wizardry series
194,WonderKing Online,,2D (side-scrolling),Fantasy,Free-to-play,2006,,,
195,Wonderland Online,Closed,2D (special),Fantasy,Free-to-play,"2008, March",,,Anime/Manga based
196,World of the Living Dead,,2D,Survival Strategy,Free-to-play,2014,2014,,"Map-Based Survival Game with PvP, Factions, Customization, Upgrades & Crafting. Defunct 2014"
197,World of Warcraft,Active,3D,Fantasy,Pay-to-play,2004,,Launcher,Free-to-play until level 20
198,Wurm Online,Active,3D,Medieval fantasy,Freemium,2006,,,"Sandbox game with hundreds of skills, multiple kingdoms, and a deep crafting system."
199,Xsyon,,3D,Apocalyptic Fantasy,Buy-to-play[9][10],2011,,,Apocalyptic Fantasy Sandbox MMORPG - Currently in the Prelude phase.
200,Zhengtu,,2D,Mythology (Chinese),Freemium,2008,,,
