,File system,DOS,Windows 9x,Windows NT,Linux,"""classic"" Mac OS",macOS,FreeBSD,OS/2,BeOS,Minix,Solaris,z/OS
22,ext2,No,No,Yes with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84],Yes,No,Yes with Paragon ExtFS [85] or ext2fsx,Yes,No,Yes,?,?,?
23,ext3,No,No,Yes with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84],Yes,Partial (read only)[citation needed],Yes with Paragon ExtFS [85] or partial with ext2fsx (journal not updated on writing),Partial (read-only)[86][87],No,with addon,?,Yes,?
24,ext4,No,No,Yes with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84],Yes,?,Yes with Paragon ExtFS [85],Partial support in kernel since version 10.1 (read-only)[86][87],No,with addon,?,?,?
25,NOVA,No,No,No,Yes,No,No,No,No,No,No,No,No
26,Lustre,No,No,No,Yes[88],?,?,No,?,?,?,Yes,?
27,NILFS,No,No,?,Yes as an external kernel module,?,?,No,?,?,?,?,?
28,F2FS,No,No,No,Yes,No,No,No,No,No,No,No,No
29,ReiserFS,No,No,No,Yes,?,?,Partial - Read Only from 6.0 to 10.x[89] and dropped in 11.0[90][91],?,with addon,?,?,?
30,Reiser4,No,No,No,Yes with a kernel patch,?,?,No,?,?,?,?,?
31,SpadFS,No,No,No,Yes,No,No,?,No,No,No,No,No
32,OCFS,No,No,No,Yes,?,?,No,No,?,?,?,?
33,OCFS2,No,No,No,Yes,?,?,No,No,?,?,?,?
34,XFS,No,No,No,Yes,?,?,Partial,?,with addon (read only),?,?,?
35,JFS,No,No,No,Yes,?,?,No,Yes,?,?,?,?
36,QFS,No,No,No,Partial - client only[92],?,?,No,No,?,?,Yes,?
37,Be File System,No,No,No,Partial - read-only,?,?,No,No,Yes,?,?,?
38,NSS,No,No,No,Yes via EVMS[cv],?,?,No,No,?,?,?,?
39,NWFS,Partial (with Novell drivers),No,No,?,?,?,Yes,No,?,?,?,?
40,ODS-2,No,No,No,?,?,?,No,No,?,?,?,?
41,ODS-5,No,No,No,?,?,?,No,No,?,?,?,?
42,UDF,No,?,Yes,Yes,?,Yes,Yes,?,?,?,Yes,?
43,VxFS,No,No,No,Yes,?,?,No,No,?,?,Yes,?
44,Fossil,No,No,No,Yes[cw],No,Yes[cw],Yes[cw],No,No,No,Yes[cw],?
45,ZFS,No,No,Yes[93],Yes with FUSE[94] or as an external kernel module[95],No,Yes with Read/Write Developer Preview[96],Yes,No,No,No,Yes,No
46,Btrfs,No,No,Partial with WinBtrfs[97],Yes,?,?,?,?,?,?,?,?
47,VMFS2,No,No,No,?,?,?,No,No,?,?,?,?
48,VMFS3,No,No,No,?,?,?,No,No,?,?,?,?
49,IBM HFS,No,No,No,No,No,No,No,No,No,No,No,Yes
50,IBM zFS,No,No,No,No,No,No,No,No,No,No,No,Yes
51,ReFS,No,No,Yes (from Windows Server 2012 and from Windows 8.1),Partial - with Paragon ReFS for Linux,?,?,?,?,?,?,?,?
52,ISO 9660,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
53,Rock Ridge,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,?
54,"Joliet (""CDFS"")",No,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,?,Yes,?
55,SquashFS,No,No,Partial (There are ports of unsquashfs and mksquashfs.),Yes,No,Partial (There are ports of unsquashfs and mksquashfs.),Partial (There are ports of unsquashfs and mksquashfs and fusefs-port.[98][99]),No,No,No,No,No
56,File system,DOS,Windows 9x,Windows NT,Linux,"""classic"" Mac OS",macOS,FreeBSD,OS/2,BeOS,Minix,Solaris,z/OS
