,File system,Hard links,Symbolic links,Block journaling,Metadata-only journaling,Case-sensitive,Case-preserving,File Change Log,Internal snapshotting / branching,XIP,Filesystem-level encryption,Data deduplication,Data checksums
41,UDF,Yes,Yes,Yes[bt],Yes[bt],Yes,Yes,No,No,Yes,No,No,No
42,VxFS,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes[ce],?,No,Yes,No
43,Fossil,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
44,ZFS,Yes,Yes,Yes[cf],No[cf],Yes,Yes,No,Yes,No,Yes[cg],Yes,Yes
45,Btrfs,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?,"No, planned, not being developed (Nov, 2015)[53]",Yes,Yes
46,Minix V1,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
47,Minix V2,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
48,Minix V3,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
49,VMFS2,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
50,VMFS3,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
51,ReFS,No,Yes,?,?,Yes[bk],Yes,?,?,?,No,Yes,Yes
52,ISO 9660,No,No,No,No,No,No,No,No,No,No,No[ch],No
53,Rock Ridge,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No[ch],No
54,"Joliet (""CDFS"")",No,No,No,No,No,Yes,No,No,No,No,No[ch],No
55,SquashFS,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes
56,File system,Hard links,Symbolic links,Block journaling,Metadata-only journaling,Case-sensitive,Case-preserving,File Change Log,Internal snapshotting / branching,XIP,Filesystem-level encryption,Data deduplication,Data checksums
