,Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
27,Mumble,"Linux, macOS, iOS, Windows, Android",New BSD license,Free,ICE,"CELT, Speex, Opus",TLS and OCB-AES128,No max (limited only by server bandwidth and memory),"Chat with (limited) embedded HTML, Automatic Gain Control, very low latency, Access Control Lists for user management, Customizable In-Game Overlay for OpenGL and DirectX, Directional Audio, Plugin Support, Nested Channels, Echo cancellation for headset free use, Global Public Server List, Logitech G15 support, Push-To-Talk and Voice-Activation","1.2.19; January 27, 2017; 2 years ago"
28,Nymgo,"Windows, Android, iOS",Proprietary,Free,"SIP, RTP and RTCP",Unknown,Yes,No,"Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition",4.2.9; March 2013; 6 years ago
29,oovoo,"macOS, iOS, Windows, Android",Proprietary,Free,"SIP, RTP and RTCP",Unknown,Yes,12,"Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition",4.2.9; March 2013; 6 years ago
30,Phoner,Windows,Proprietary,Free,"SIP, TAPI, CAPI","G.711a, G.711u, G.722, G.726, G.729, GSM, iLBC, speex, Opus","TLS, SRTP, ZRTP",8,"Conferencing, call redirection, call recording",3.22 (25 October 2019; 41 days ago) [±][20]
31,PhonerLite,Windows,Proprietary,Free,SIP,"G.711a, G.711u, G.722, G.726, G.729, GSM, iLBC, speex, Opus","TLS, SRTP, ZRTP",8,"Conferencing, call redirection, call recording",2.74 (24 October 2019; 42 days ago) [±][21]
32,QuteCom,"Linux, macOS, Windows XP-2000",GPL,Free,SIP,"G.711, G.729, iLBC, AMR-NB, G.722, Speex, AMR-WB (G.722.2), H.263, H.263+, H.264, Dirac[22]","SRTP, but key exchange via Everbee key Exchange which is not a Standard",Unknown,"Video, IM (MSN, AIM, ICQ, Yahoo!, XMPP, Google Talk), voicemail, wengo to phone, conferencing.",2.2.1 (22 June 2011; 8 years ago[23]) [±]
33,Roger Wilco GameSpy,Windows,Proprietary,?,Proprietary,?,?,?,?,2001; 18 years ago
34,Signal,"Linux, macOS, Windows, Android, iPhone","{{open source, The clients are published under the GPLv3 license, while the server code is published under the AGPLv3 license}}",Free,<to be completed>,<to be completed>,<to be completed>,<to be completed>,"Signal also allows users to send text messages, files, voice notes, pictures, GIFs, and video messages over a Wi-Fi or data connection to other Signal users on iOS, Android and a desktop app. The app also supports group messaging, read receipts and typing indicators, both of which can be disabled.","Android4.50.6 / November 25, 2019; 10 days ago[24]iOS3.0.3 / December 3, 2019; 2 days ago[25]Desktop1.29.0 / December 5, 2019; 0 days ago[26]"
35,Android,"4.50.6 / November 25, 2019; 10 days ago[24]",,,,,,,,
36,iOS,"3.0.3 / December 3, 2019; 2 days ago[25]",,,,,,,,
37,Desktop,"1.29.0 / December 5, 2019; 0 days ago[26]",,,,,,,,
