,Engine,Origin,Designer,Vehicle,Use,Propellant,Specific impulse (s)[a],Thrust (N)[a],Mass (kg),Thrust:​weight ratio[b],Chamber pressure (bar),Oxidiser:​fuel ratio,Unnamed: 12
59,Rutherford Vacuum,New Zealand USA,Rocket Lab,Electron,2nd,RP-1 / LOX,343,24465,,,,,
60,S200,India,SDSC,GSLV Mk III,Booster,HTPB,274.5[54],"5,150,000[55][56][57]","207,000with fuel[54]",,,,
61,SCE-200,India,LPSC,GSLV Mk III ULV,"Upper, main",RP-1 / LOX,335 299 (SL),"2,030,000 1,820,000 (SL)",2700,,180,,
62,SLS Solid Rocket Booster[h],USA,Orbital ATK,SLS,Booster,PBAN,267,16000000,"730,000 with fuel",,,,
63,SLV-1,India,Godrej & Boyce,PSLV,Booster,HTPB,253[58],502600,"10,800 with fuel",,43,,
64,SPT-100,Russia,OKB Fakel,LS-1300 satellites,Vacuum,Xenon,"1,500 @1.35 kW",0.083 @1.35 kW,3.5,,,,
65,SRB-A,Japan,IHI AerospaceJAXA,H-IIA,Booster,HTPB,280[59],2250000,"76,400 with fuel",,,,
66,SRB-A3,Japan,IHI AerospaceJAXA,H-IIB Epsilon,Booster,BP-207J[60],283.6[60],"2,305,000 2,150,000 (SL)","76,600 with fuel",,111,,
67,TQ-12[61],China,Landspace,ZQ-2,1st,CH4 / LOX,284,"667,000 (SL)",,,101,,
68,VASIMR,USA,Ad Astra Rocket Company,,Vacuum,Argon,"5,000 @200 kW",5.7 @200 kW,,,,,
69,Vikas (rocket engine),India,LPSC,PSLV GSLV GSLV Mk III,"2nd, main, booster",N2O4 / UDMH,262,"680,500–804,500 600,500–756,500 (SL)",,,53.0–58.5,,
70,Vinci,Europe,Snecma,Ariane 6,Upper,LH2 / LOX,467[62],180000,280,65.60,61,,
71,Vulcain 2,Europe,Snecma,Ariane 5,1st,LH2 / LOX,429[63] 318 (SL)[64],"1,359,000[63] 939,500 (SL)[64]","1,800[63]",77.04,117.3[63],,
72,XIPS-25,USA,Boeing,Boeing 702 satellites,Vacuum,Xenon,"3,500 @4.5 kW",0.165 @4.5 kW,,,,,
73,YF-100,China,AALPT,Long March 5 Long March 6 Long March 7,"Booster, 1st",RP-1 / LOX,335[65] 300 (SL),"1,340,000 1,200,000 (SL)",,,180,,
74,YF-115,China,AALPT,Long March 6 Long March 7,2nd,RP-1 / LOX,341.5,176500,,,,,
75,YF-21B,China,AALPT,Long March 2E Long March 2F Long March 3,"Booster, 1st",N2O4 / UDMH,260.66 (SL)[66],"740,400 (SL)[66]",,,,,
76,YF-21C,China,AALPT,Long March 2C Long March 2D Long March 3A Long March 3B Long March 3C Long March 4B Long March 4C,1st,N2O4 / UDMH,260.7 (SL)[66],"740,400 (SL)[66]",,,,,
77,YF-25,China,AALPT,Long March 3B Long March 3C,Booster,N2O4 / UDMH,260.66 (SL)[66],"740,400 (SL)[66]",,,,,
78,YF-22B,China,AALPT,Long March 2E Long March 2F,2nd,N2O4 / UDMH,298.0[66],738400,,,,,
79,YF-22C,China,AALPT,Long March 2C Long March 2D Long March 4B Long March 4C,2nd,N2O4 / UDMH,298.0[66],742040,,,,,
80,YF-22D,China,AALPT,Long March 3,2nd,N2O4 / UDMH,298.0[66],741400,,,,,
81,YF-22E,China,AALPT,Long March 3A Long March 3B Long March 3C,2nd,N2O4 / UDMH,298.0[66],741400,,,,,
82,YF-40,China,AALPT,Long March 4B Long March 4C,3rd,N2O4 / UDMH,303,103000,,,,,
83,YF-50D,China,AALPT,Long March 3B Long March 3C Long March 5 Long March 7,Upper,N2O4 / UDMH,315.5,6500,,,,,
84,YF-73,China,AALPT,Long March 3,3rd,LH2 / LOX,420.0,44150,,,,,
85,YF-75,China,AALPT,Long March 3A Long March 3B Long March 3C,3rd,LH2 / LOX,438.0[66],167170,,,,,
86,YF-75D,China,AALPT,Long March 5,2nd,LH2 / LOX,442.0,86260,,,,,
87,YF-77,China,AALPT,Long March 5,1st,LH2 / LOX,430310.2 (SL),"700,000510,000 (SL)",2700,,102,,
88,Zefiro 9A,European Union,Avio,Vega,3rd,Solid,,72000,,,75,,
89,Zefiro 23,European Union,Avio,Vega,2nd,Solid,,"209,000 (SL)",,,,,
