,Rank,Country/U.S. state,USD
133,131,Peru,6731
134,132,Turkmenistan,6642
135,133,Thailand,6590
136,134,Colombia,6379
137,135,Ecuador,6216
138,136,South Africa,6179
139,137,Serbia,5901
140,138,Suriname,5869
141,139,Belarus,5727
142,140,Paraguay,5600
143,141,Namibia,5589
144,142,Fiji,5527
145,143,Macedonia,5474
146,144,Iran,5289
147,145,Jamaica,5193
148,146,Bosnia and Herzegovina,5180
149,147,Iraq,4950
150,148,Belize,4806
151,149,Libya,4739
152,150,Guyana,4578
153,151,Albania,4544
154,152,Tonga,4520
155,153,Guatemala,4469
156,154,Angola,4465
157,155,Samoa,4258
158,156,Azerbaijan,4140
159,157,Jordan,4135
160,158,Georgia,4085
161,159,Sri Lanka,4073
162,160,Algeria,4033
163,161,Kosovo,3944
164,162,Swaziland,3915
165,163,El Salvador,3894
166,164,Indonesia,3876
167,165,Armenia,3861
168,166,Mongolia,3640
169,167,Tuvalu,3638
170,168,Marshall Islands,3625
171,169,Tunisia,3496
172,170,Bolivia,3353
173,171,Cape Verde,3238
174,172,Micronesia,3200
175,173,Morocco,3151
176,174,Vanuatu,3094
177,175,Philippines,2976
178,176,Bhutan,2903
179,177,Papua New Guinea,2861
180,178,Honduras,2766
181,179,Ukraine,2583
182,180,Laos,2542
183,181,Egypt,2501
184,182,Vietnam,2354
185,183,Moldova,2280
186,184,Nicaragua,2207
187,185,East Timor,2104
188,186,Solomon Islands,2081
189,187,Nigeria,1994
190,188,Djibouti,1989
191,189,India,1983
192,190,Republic of the Congo,1958
193,191,São Tomé and Príncipe,1785
194,192,Kiribati,1721
195,193,Kenya,1702
196,194,Ghana,1663
197,195,Côte d'Ivoire,1617
198,196,Bangladesh,1602
199,197,Pakistan,1541
200,198,Uzbekistan,1491
201,199,Zambia,1480
202,200,Sudan,1428
203,201,Lesotho,1425
204,202,Cameroon,1401
205,203,Cambodia,1390
206,204,Mauritania,1318
207,205,Myanmar,1264
208,206,Zimbabwe,1176
209,207,Kyrgyzstan,1144
210,208,Senegal,1038
211,209,Tanzania,1034
212,210,Eritrea,980
213,211,Ethiopia,873
214,212,Nepal,834
215,213,Benin,830
216,214,Tajikistan,824
217,215,Mali,811
218,216,Chad,810
219,217,Guinea-Bissau,794
220,218,Comoros,788
221,219,Haiti,784
222,220,Rwanda,772
223,221,Guinea,749
224,222,Liberia,729
225,223,Uganda,699
226,224,Burkina Faso,664
227,225,Togo,611
228,226,Afghanistan,588
229,227,Yemen,551
230,228,Sierra Leone,491
231,229,"Gambia, The",480
232,230,Democratic Republic of the Congo,478
233,231,Madagascar,448
234,232,Niger,440
235,233,Mozambique,429
236,234,Central African Republic,387
237,235,Malawi,324
238,236,Burundi,312
239,237,South Sudan,228
