,Country code,Country,Speed limit on motorway (km/h),Speed limit on dual carriageway (km/h),Speed limit on single carriageway (km/h),Speed limit in urban area,Permitted alcohol level (%),Toll roads,Seatbelt required,Minimum child age (front seat),Triangle required,First aid required,Fire extinguisher required,Spare bulb required,Minimum driver's age,Tow rope required
20,HR,Croatia,130,110,80,50,0.05,Yes,All,12,Yes,Yes,Recommended,Yes,18,No
21,I,Italy,130,110,90,50,0.05,Yes,All,12,Yes,Recommended,Recommended,No,18,Yes
22,IRL,Ireland,120,,100,50,0.05,Yes[8],All,,Recommended,Recommended,Recommended,No,17,Yes
23,IS,Iceland,,,90,50,0.05,,All,14,Yes,Recommended,Recommended,No,17,Yes
24,L,Luxembourg,130,,90,50,0.05,,All,11,Yes,Recommended,Recommended,No,18,Yes
25,LT,Lithuania,130,110,90,50,0.04,,All,12,Yes,Yes,Yes,No,18,No
26,LV,Latvia,,90,90,50,0.05,,All,,Yes,Yes,Yes,No,18,Yes
27,M,Malta,,,80,50,0.08,,Yes[9],11,Recommended,Recommended,Recommended,No,18,Yes
28,MC,Monaco,,,,50,0.05,,,10,Recommended,Recommended,Recommended,No,18,Yes
29,MD,Moldova,,,90,60,0,,All,12,Yes,Yes,Yes,No,18,Yes
30,MK,North Macedonia,130,,80,60,0.05,Yes,All,12,Yes,Yes,Recommended,Yes,18,Yes
31,MNE,Montenegro,120,,80,50,0.05,Yes,All,12,Yes,Recommended,Recommended,No,,Yes
32,N,Norway,110,,80,50,0.02,Yes,All,,Yes,Recommended,Recommended,No,18,Yes
33,NL,Netherlands,130,100,80,50,0.05,Yes[10],All,12,Recommended,Recommended,Recommended,No,18 (17 with supervision of someone with 5+ years drive-experience),Yes
34,PT,Portugal,120,100,90,50,0.05,Yes,All,12,Yes,Recommended,Recommended,No,18,Yes
35,PL,Poland,140,100 (120 on expressways),90 (100 on expressways),"50 (5–23), 60 (23–5)",0.02,Yes,All,,Yes,Recommended,Yes,No,18 (16 for B1 cars),No
36,RO,Romania,130,100 (110 on expressways),90,50,0,Yes,All,12,Yes,Yes,Yes,No,18 (16 for B1 cars),No
37,RSM,San Marino,,,70,50,0.08,,All,12,Recommended,Recommended,Recommended,No,18,Yes
38,RUS,Russia[11],110,,90,60,0,Yes,All,12,Yes,Yes,Yes,No,18,Yes
39,S,Sweden,110,,70,50,0.02,Yes,All,,Yes,Recommended,Recommended,No,18,No
40,SK,Slovakia,130,130,90,50,0,Yes,All,12,Yes,Yes,Recommended,Yes,18 (17 with supervision of someone with 10+ years drive-experience),Yes
41,SLO,Slovenia,130,100,90,50,0.05,,All,12,Yes,Yes,Recommended,No,18,Yes
42,SRB,Serbia,120,100,80,50,0.03,Yes,All,12,Yes,Yes,Yes,No,18,Yes
43,TR,Turkey,120,110 (cars) / 90 (rest),90,50,0.05,Yes,All,10,Yes,Yes,Yes,No,18,Yes
44,UA,Ukraine,130,110,90,50,0,Yes,All,12,Yes,Yes,Yes,No,18,Yes
45,Country code,Country,Speed limit on motorway (km/h),Speed limit on dual carriageway (km/h),Speed limit on single carriageway (km/h),Speed limit in urban area,Permitted alcohol level (%),Toll roads,Seatbelt required,Minimum child age (front seat),Triangle required,First aid required,Fire extinguisher required,Spare bulb required,Minimum driver's age,Tow rope required
