,Library Name,Unnamed: 1,Unnamed: 2,Supported Chart Types,Supported Chart Types.1,Supported Chart Types.2,Supported Chart Types.3,Supported Chart Types.4,Supported Chart Types.5,Supported Chart Types.6,Supported Chart Types.7,Supported Chart Types.8,Supported Chart Types.9,Supported Chart Types.10,Supported Chart Types.11,Supported Bar Chart Types,Supported Bar Chart Types.1,Supported Bar Chart Types.2,Supported Bar Chart Types.3,Supported Bar Chart Types.4,Other Features,Interactivity,Interactivity.1,Rendering Technologies,Rendering Technologies.1,Rendering Technologies.2,Databinding,HTML 5 Canvas
10,Charts 4 PHP,Proprietary,Free basic edition[17],No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,,Yes,Yes,Yes,Yes,No,No,,,
11,Cytoscape.js,MIT[18],Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,No,Yes,Yes,Yes,No,No,Yes,
12,"D3.js, formerly Protovis[19][20]",BSD-3[21],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[22],Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes[23],No,Yes,
13,dc,Apache 2.0[24],Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,No,Yes,Yes,No,Yes[25],No,,
14,DevExtreme,Proprietary,Non-commercial or commercial[26],Yes[27],Yes[28],Yes[29],Yes[30],Yes[31],Yes[32],Yes[33],Yes[34],Yes[35],No,No,Yes[36],Yes[37],Yes,Yes[38],Yes,No,Yes,Yes,Yes[39],Yes[40],Yes,No,Yes,
15,DHTMLX Charts,GPL[41],Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes[42],No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,No,Yes,,
16,dimple,MIT[43],Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,No,Yes,
17,Dojo Charting,BSD or AFL[44],Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes[45],,
18,Dygraphs,MIT[46],Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,,
19,Echarts,BSD-3[21],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,
20,Factmint Charts,Proprietary,Non-commercial or commercial [47],Yes,Yes[48],Yes[49],Yes[50],Yes[51],No,No,No,No,No,No,No,Yes[52],Yes[52],Yes[52],,Yes,Yes,Yes,No,Yes,No,,,
21,Flot Charts,MIT[53],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,Yes,Yes,Yes[54],No,No,,
22,FusionCharts,Proprietary,Free for personal and non-commercial uses.[55] Paid for commercial applications.[56],Yes [57],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes[58],,,
23,Flotr2,MIT[59],Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes[60],No,No,,
24,MuzeJS,MIT[61],Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,,
25,LightningChart JS,Proprietary,Free for personal and non-commercial uses.[62] Paid for commercial applications.[63],Yes [64],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,Yes
26,Google Charts,Free[65],Yes[65],Yes,Yes,Yes,Yes,Yes,Yes[66],No,No,Yes[67],Yes[68],Yes,Yes,Yes[69],Yes[70],Yes,Yes[71],Yes,Yes,Yes,Yes[72],Yes,Yes[73],Yes[73],Yes[74],
27,gRaphael,MIT[75],Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,,Yes,Yes,No,No,Yes[76],No,,
28,"Highcharts, Highstock",Proprietary,Free for personal and non-commercial uses.[77] Paid for commercial applications.[78],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[79],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,
29,Library Name,,,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Other Features,Interactivity,Interactivity,Rendering Technologies,Rendering Technologies,Rendering Technologies,Databinding,
30,Library Name,License,,Line,Timeline,Scatter,Area,Pie,Donut,Bullet,Radar,Funnel,Gantt,Network,Grouped,Stacked,Negative,Discrete,Horizontal,3D,Legends,Mouse Over,onClick,HTML5 Canvas,SVG,VML,AxisXY,
31,JenScript,BSD-3[80],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No[81],Yes,No,Yes,
32,jqPlot,MIT or GPLv2[82],Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes[83],No,No,,
33,jqxChart,Proprietary,Free with a link [84] or commercial[85],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,
34,JSCharting,Proprietary[86],No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,,
35,KoolChart,Proprietary,Free with a link [87] or commercial[88],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[89],No,Yes,Yes,
36,MetricsGraphics,Mozilla Public License Version 2.0[90],Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,,
37,NextCharts,Apache 2.0[91],Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,Yes,
38,NVD3,Apache 2.0[92],Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes[93],No,,
39,OLAPCharts,Proprietary,Free basic edition[94],No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,,,
40,plotly.js,MIT[95],Yes,Yes,Yes[96],Yes,Yes,Yes,Yes,via Bars & Scatter[97],Yes,via Python[98],via Python[99],via Python[100],Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes[101],No,,
41,PlusCharts,Free,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,,
42,ReactiveChart,MIT[102],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,,
43,RGraph,MIT[103],Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,
44,rickshaw,MIT[104],Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,Yes,Yes,No,No,Yes[105],No,,
45,Shield UI,Proprietary,Non-commercial or commercial[106],No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes[107],,,
46,Syncfusion,Proprietary,Free[108] or commercial[109],Yes,Yes,Yes,Yes,Yes,Yes[110],Yes,Yes,Yes[111],No,Yes,Yes,Yes,Yes,Yes,[112],Yes,Yes,Yes,Yes,Yes,Yes,Yes,[113],
47,TeeChart JS,MIT[114],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,
48,Vaadin Charts,Proprietary,No[115],Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,,,
49,VanCharts,Proprietary,cc-by-nc 4.0 [116] or commercial [116],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,,,
50,VisJS,Apache 2.0 and MIT[117],Yes,Yes[118],Yes[119],Yes[120],Yes[121],No,No,No,No,No,Yes[122],Yes[123],Yes,Yes,Yes,No,No,Yes[124],Yes,Yes,Yes,Yes,No,No,,
51,Webcharts,MIT[125],Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,,Yes,Yes,Yes,No,Yes,No,,
52,Webix UI,GPL[126],Yes,Yes[127],No,Yes[128],Yes[129],Yes[130],Yes[130],No,Yes[131],No,No,No,Yes[132],Yes[133],Yes,No,Yes[133],,Yes [134],Yes [135],Yes [136],Yes,No,Yes,Yes,
53,xcharts,MIT[137],Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,Yes,Yes,No,Yes[16],No,,
54,YUI Charts,BSD-3[138],Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,,Yes,Yes,No,Yes,Yes,Yes[139],,
55,ZingChart,Proprietary,Free with a link [140] or commercial[141],No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes[142],Yes,,
56,ZoomCharts,Proprietary,Non-commercial or commercial[143],Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes[144],Yes,No,,,
57,Library Name,License,Free,Line,Timeline,Scatter,Area,Pie,Donut,Bullet,Radar,Funnel,Gantt,Network,Grouped,Stacked,Negative,Discrete,Horizontal,3D,Legends,Mouse Over,onClick,HTML5 Canvas,SVG,VML,AxisXY,
58,Library Name,,,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Supported Bar Chart Types,Other Features,Interactivity,Interactivity,Rendering Technologies,Rendering Technologies,Rendering Technologies,Databinding,
