,Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult single day lift ticket price (USD),Date statistics updated
21,Panorama Mountain Resort,Invermere,British Columbia,7792,3773.0,4019.0,2847,120.0,10.0,196,$92,"October, 2016[23][24]"
22,Whitefish Mountain Resort,Kalispell,Montana,6817,4464.0,2353.0,3000,105.0,14.0,300,$83,"November 7, 2019[25][26]"
23,Arizona Snowbowl,Flagstaff,Arizona,11500,9200.0,2300.0,777,40.0,7.0,260,$99,"November 7, 2019[27][28]"
24,Telluride Ski Resort,Telluride,Colorado,13150,8725.0,4425.0,2000,147.0,18.0,309,$86,"October, 2016[29][30]"
25,Arapahoe Basin,Keystone,Colorado,13050,10520.0,2530.0,1428,147.0,9.0,350,$109,"November 5, 2019[31]"
26,Pajarito Mountain Ski Area [6],Los Alamos,New Mexico,10440,9000.0,1440.0,750,44.0,5.0,163,$49,"September 9, 2019[32]"
27,Taos Ski Valley [7],Taos,New Mexico,12481,9200.0,3281.0,1294,110.0,14.0,300,$110,"September 9, 2019[33]"
28,Ski Santa Fe [8],Santa Fe,New Mexico,12075,10350.0,1725.0,660,83.0,7.0,225,$84,"September 9, 2019[34]"
29,Big Sky Resort,Bozeman,Montana,11166,6800.0,4350.0,5800,317.0,36.0,400,$119,"October, 2016[35]"
30,Beartooth Basin Summer Ski Area,Red Lodge,Montana,10900,9900.0,1000.0,600,9.0,2.0,,$45,"November 7, 2019[36]"
31,Jackson Hole Mountain Resort,Teton Village,Wyoming,10450,6311.0,4139.0,2500,133.0,15.0,459,$140,"November 7, 2019[37]"
32,Loveland Ski Area,Georgetown,Colorado,13010,10800.0,2210.0,1800,94.0,11.0,422,$89,"November 7, 2019[38]"
33,Revelstoke Mountain Resort,Revelstoke,British Columbia,7300,1680.0,5620.0,3121,75.0,5.0,413,$119,"March 16, 2019[39]"
34,Mount Ashland Ski Area,Ashland,Oregon,7533,6383.0,1150.0,220,23.0,5.0,265,$52,"September 29, 2019[40]"
35,Keystone Resort,Keystone,Colorado,12408,9280.0,3128.0,3148,131.0,20.0,235,$129 online,"December 20, 2018[41]"
36,Breckenridge Ski Resort,Breckenridge,Colorado,12998,9600.0,3398.0,2908,187.0,34.0,353,$165 online,"December 20, 2018[42]"
37,Squaw Valley,Truckee,California,9050,6200.0,2850.0,3600,170.0,29.0,450,$93,"October, 2016[43]"
38,Mammoth Mountain,Mammoth Lakes,California,11053,7953.0,3100.0,3500,150.0,28.0,420,$96,"April 20, 2012[44]"
39,Heavenly Mountain Resort [9],South Lake Tahoe,California,10067,7200.0,3500.0,4800,94.0,30.0,360,$82,"November 19, 2010"
40,Mount Shasta Ski Park,Mount Shasta,California,9200,7800.0,1435.0,425,32.0,4.0,275,$44,"April 20, 2012"
41,Alpine Meadows,Truckee,California,8637,6835.0,1802.0,2400,,14.0,365,$92,"April 20, 2012"
42,Boreal,Soda Springs,California,7700,7200.0,500.0,380,41.0,8.0,400,$49,"April 20, 2012"
43,Donner Ski Ranch,Norden,California,7781,7031.0,750.0,435,52.0,8.0,400,$45,"April 20, 2012"
44,Homewood,Homewood,California,7881,6223.0,1658.0,1260,60.0,7.0,400,$109; $49 adv purch,"December 20, 2018"
45,Kirkwood,Kirkwood,California,9800,7800.0,2000.0,2300,86.0,15.0,500,$129,"October 29, 2019"
46,Northstar California,Truckee,California,8610,6330.0,2280.0,2904,93.0,19.0,350,$99,"April 20, 2012"
47,Sierra-at-Tahoe,Twin Bridges,California,8852,6640.0,2212.0,2000,46.0,12.0,480,$77,"April 20, 2012"
48,Sugar Bowl,Norden,California,8383,6883.0,1500.0,1500,94.0,13.0,500,$77,"April 20, 2012"
49,Soda Springs,Soda Springs,California,7325,6673.0,652.0,200,15.0,2.0,400,$36,"April 20, 2012"
50,Tahoe Donner,Truckee,California,7350,6750.0,600.0,120,10.0,3.0,400,$41,"April 20, 2012"
51,Badger Pass,Yosemite National Park,California,8000,7200.0,800.0,90,10.0,5.0,300,$42,"April 20, 2012"
52,Bear Valley,Angels Camp,California,8500,6600.0,1900.0,1280,67.0,10.0,359,,"April 20, 2012"
53,Dodge Ridge,Sonora,California,8200,6600.0,1600.0,832,62.0,12.0,300,,"April 20, 2012"
54,June Mountain,June Lake,California,10090,7545.0,2590.0,500,35.0,7.0,250,,"April 20, 2012"
55,China Peak,Lakeshore,California,8709,7030.0,1673.0,1200,45.0,11.0,300,,"April 20, 2012"
56,Alta Sierra,Wofford Heights,California,7091,6491.0,600.0,,6.0,2.0,80[45],$50[46],"May 1, 2017"
57,Buckhorn Ski and Snowboard Club,Three Points,California,7903,7203.0,680.0,40,5.0,2.0,180,,"April 20, 2012"
58,Bear Mountain,Big Bear Lake,California,8805,7104.0,1665.0,198,24.0,12.0,100,,"April 20, 2012"
59,Mount Baldy Ski Lifts,Mount Baldy,California,8600,6500.0,2100.0,800,26.0,4.0,170,,"April 20, 2012"
60,Mount Waterman,Three Points,California,8030,7000.0,1030.0,150,27.0,3.0,180,,"April 20, 2012"
61,Mountain High,Wrightwood,California,8200,6600.0,1600.0,290,59.0,13.0,132[47],$59[48],"February 14, 2014"
62,Snow Summit,Big Bear Lake,California,8174,6965.0,1209.0,240,30.0,14.0,100,,"April 20, 2012"
63,Snow Valley Mountain Resort,Running Springs,California,7841,6800.0,1041.0,240,29.0,12.0,150,,"April 20, 2012"
64,Wolf Creek Ski Area,Pagosa Springs,Colorado,11904,10300.0,1604.0,1600,77.0,7.0,465,,"April 20, 2012"
65,Kicking Horse Resort,Golden,British Columbia,8218,3900.0,4314.0,3486,120.0,3.0,295,$73,"March 16, 2019[49]"
66,Eldora Mountain Resort [10],Nederland,Colorado,10800,9200.0,1600.0,680,53.0,12.0,300,$69,"February 18, 2011"
67,Alyeska Resort [11],Girdwood,Alaska,3939,250.0,2500.0,1400,73.0,9.0,643,$89,"November 7, 2019"
68,Marmot Basin [12],Jasper,Alberta,8570,5570.0,3000.0,1675,86.0,8.0,160,$105,"September 19, 2019"
69,Lake Louise Mountain Resort [13],Lake Louise,Alberta,8650,5400.0,3250.0,4200,139.0,9.0,180[50],$84.95[51],"February 14, 2014"
70,Big White Ski Resort [14],Kelowna,British Columbia,7606,4950.0,2656.0,2800,118.0,16.0,294,$76,"November 19, 2010"
71,Silver Star Mountain Resort [15],Vernon,British Columbia,6282,3789.0,2500.0,3269,128.0,12.0,275,$81,"April, 2015[52]"
72,Whistler Blackcomb [16],Whistler,British Columbia,7494,2140.0,5280.0,8171,200.0,37.0,404,$93,"December 23, 2017"
73,Steamboat Springs [17],Steamboat Springs,Colorado,10568,6900.0,3668.0,2956,165.0,16.0,349,$125,"January 30, 2015"
74,Copper Mountain (Colorado) [18],Frisco,Colorado,12313,9712.0,2601.0,2450,126.0,22.0,282,$74,"November 19, 2010"
75,Vail Ski Resort,Vail,Colorado,11570,8120.0,3450.0,5289,195.0,31.0,354,$199; $179 online,"December 20, 2018"
76,Beaver Creek,Avon,Colorado,11440,8100.0,3340.0,1832,150.0,24.0,195,$199; $179 online,"December 20, 2018"
77,Winter Park Resort,Winter Park,Colorado,12060,9000.0,3060.0,3000,143.0,25.0,365,$92,
78,Saddleback Maine,Farmington,Maine,4120,2120.0,2000.0,485,66.0,5.0,200,$40,
79,Boyne Mountain,Boyne City,Michigan,1120,620.0,500.0,41,60.0,10.0,140,$59,
80,Mountain Creek,Vernon Township,New Jersey,1480,440.0,1040.0,200,41.0,8.0,65,$62,
81,Blue Mountain,Collingwood,Ontario,1483,741.0,742.0,250,34.0,15.0,109,$67,
82,Mt Bachelor [19],Bend,Oregon,9065,5700.0,3365.0,4318,101.0,11.0,462,$99,"September 29, 2019[53]"
83,Mount Hood Meadows [20],Portland,Oregon,7300,4523.0,2777.0,2150,85.0,11.0,430,$90,
84,Mont-Sainte-Anne,Beaupré,Quebec,2625,575.0,2050.0,450,65.0,13.0,187,$65,
85,Mont Tremblant Resort,Mont Tremblant,Quebec,2870,750.0,2120.0,627,95.0,14.0,156,$70.35,
86,Le Massif,Petite-Rivière-Saint-François,Quebec,2645,118.0,2527.0,410,48.0,4.0,248,$61,
87,Brian Head,Brian Head,Utah,11307,9600.0,1548.0,650,14.0,8.0,370,$40,
88,Park City Mountain Resort[54],Park City,Utah,10000,6900.0,3100.0,7300,348.0,41.0,360,$169; $157 online,"March 1, 2019"
89,Deer Valley,Park City,Utah,9570,6570.0,3000.0,2026,100.0,21.0,280,$86,
90,Brighton Ski Resort [21],Salt Lake City,Utah,10500,8755.0,1745.0,1500,66.0,6.0,500,$58,
91,Alta Ski Area [22],Salt Lake City,Utah,10550,8530.0,2020.0,2200,116.0,10.0,560,$66,
92,Snowbird [23],Salt Lake City,Utah,10992,7760.0,3240.0,2500,85.0,13.0,500,$72,
93,Smuggler's Notch,Jeffersonville,Vermont,3640,1030.0,2610.0,1000,78.0,16.0,288,$66,
94,Windham Mountain,Windham,New York,3100,1500.0,1600.0,279,52.0,12.0,100[55],$75,"February 14, 2014"
95,Hunter Mountain,Hunter,New York,3200,1600.0,1600.0,240,58.0,10.0,120[56],$72,"February 14, 2014"
96,Killington Ski Resort,Killington,Vermont,4241,1165.0,3050.0,1509,155.0,21.0,250,$77,
97,Okemo Mountain,Ludlow,Vermont,3344,1144.0,2200.0,632,119.0,19.0,200,$79,
98,Stowe Mountain Resort,Stowe,Vermont,3719,1559.0,2160.0,485,116.0,13.0,333,$89,
99,Sugarbush Resort,Warren,Vermont,4083,1483.0,2600.0,508,111.0,16.0,269,$82,
100,Sugarloaf,Carrabassett Valley,Maine,4237,1417.0,2820.0,1153,154.0,14.0,200,$79,
101,Snowshoe Mountain,Marlinton,West Virginia,4848,3348.0,1500.0,244,60.0,14.0,180,$77,
102,Sunshine Village [24],Banff,Alberta,8954,5440.0,3514.0,3358,107.0,12.0,360,$82,"January 19, 2013"
103,Mt. Norquay [25],Banff,Alberta,8040,5500.0,1650.0,190,28.0,5.0,120,$59,"January 19, 2013"
104,Grouse Mountain [26],North Vancouver,British Columbia,4039,899.0,1198.0,212,26.0,5.0,120,$58,"April 2, 2013"
105,Mount Seymour [27],North Vancouver,British Columbia,4150,935.0,1083.0,200,23.0,5.0,394,$51,"April 2, 2013"
106,Cypress Mountain [28],West Vancouver,British Columbia,4724,2985.0,2001.0,600,53.0,6.0,245,$60,"April 2, 2013"
107,Stevens Pass [29],Stevens Pass,Washington,5845,4061.0,1800.0,1125,37.0,10.0,450,$65,"July 8, 2013"
108,Sun Peaks Resort,Kamloops,British Columbia,6824,3930.0,2894.0,4270,135.0,12.0,237,$74,"December 23, 2017"
109,Crystal Mountain,Enumclaw,Washington,7012,3912.0,3100.0,2600,57.0,12.0,350,$66[57],"January 26, 2014"
110,Red Mountain Resort [30],Rossland [31],British Columbia,6807,3887.0,2919.0,4200,110.0,7.0,300,$74,"February 26, 2019"
111,Mt Baker [32],Glacier,Washington,5089,3500.0,1589.0,1000,31.0,10.0,641,$58,"December 5, 2015"
112,Whiteface Mountain,Lake Placid,New York,4650,1220.0,3430.0,314,87.0,11.0,168[58],$92,"February 16, 2016"
113,Powder Mountain,Eden,Utah,"9,422[59]",6900.0,2205.0,"8,464[59]",167.0,9.0,500,$85,"January 29, 2018"
114,Sugar Mountain Resort [33],Banner Elk,North Carolina,5300,4100.0,1200.0,120,21.0,8.0,77,$74,"May 5, 2018[60]"
115,Beech Mountain Resort [34],Beech Mountain,North Carolina,5506,4675.0,831.0,95,17.0,8.0,84,$67,"May 5, 2018[61]"
116,Appalachian Ski Mountain [35],Blowing Rock,North Carolina,4000,3635.0,365.0,27,12.0,5.0,27,$62,"May 5, 2018[62]"
117,Cataloochee Ski Area [36],Maggie Valley,North Carolina,5400,4660.0,740.0,50,18.0,5.0,24,$67,"May 5, 2018[63]"
118,Sapphire Valley Ski Area [37],Sapphire,North Carolina,3400,3200.0,200.0,8,3.0,3.0,24,$63,"May 5, 2018[64]"
119,Wolf Ridge Ski Resort [38],Mars Hill,North Carolina,4700,4000.0,700.0,65,15.0,4.0,65,$56,"May 5, 2018[65]"
120,Aspen Highlands[66],Aspen,Colorado,11678,8040.0,3638.0,1010,144.0,5.0,300,$139,"September 27, 2018"
121,Aspen Mountain[67],Aspen,Colorado,11212,7945.0,3267.0,673,76.0,8.0,300,$139,"September 27, 2018"
122,Buttermilk[68],Aspen,Colorado,9900,7870.0,2030.0,435,44.0,8.0,200,$139,"September 27, 2018"
123,Snowmass[69],Aspen,Colorado,12510,8104.0,4406.0,3362,96.0,17.0,300,$139,"September 27, 2018"
124,Lee Canyon (Ski and Snowboard Resort)[70],Las Vegas,Nevada,11289,8510.0,860.0,385,27.0,3.0,161,$70,"December 29, 2018"
125,Terry Peak,Lead,South Dakota,7064,5930.0,1134.0,450,30.0,4.0,150,$58,"February 6, 2019"
126,Mount Snow [39],Dover,Vermont,3600,1900.0,1700.0,600,86.0,20.0,156,$110,"January 15, 2019 [71]"
127,Wintergreen,Charlottesville,Virginia,3515,2512.0,1003.0,129,26.0,5.0,35,$94,"August 8, 2019"
128,Angel Fire Resort [40],Angel Fire,New Mexico,10677,8600.0,2077.0,30,80.0,7.0,210,$84,"September 9, 2019"
129,Bridger Bowl,Bozeman,Montana,8700,6100.0,2600.0,2000,75.0,11.0,350,$63,"September 28, 2019[72]"
130,Turner Mountain,Libby,Montana,5952,3842.0,2110.0,1000,22.0,1.0,200,$38,"September 28, 2019[73]"
131,Discovery,Anaconda,Montana,8158,5770.0,2388.0,2200,67.0,8.0,150,$52,"September 28, 2019[74]"
132,Great Divide,Helena,Montana,7210,5880.0,1330.0,1500,140.0,6.0,180,$48,"September 28, 2019[75]"
133,Showdown,Great Falls,Montana,8200,6800.0,1400.0,640,36.0,4.0,240,$49,"September 28, 2019"
134,Maverick Mountain,Dillon,Montana,8820,6800.0,2020.0,170,24.0,2.0,200,$39,"September 28, 2019[76]"
135,Lost Trail Powder Mountain,Hamilton,Montana,8200,6400.0,1800.0,1800,60.0,8.0,325,$46,"September 28, 2019[77]"
136,Blacktail Mountain,Kalispell,Montana,6780,5340.0,1440.0,1000,26.0,4.0,250,$42,"September 28, 2019[78]"
137,Bear Paw Ski Bowl,Havre,Montana,5280,4200.0,1080.0,80,11.0,2.0,140,$20,"September 28, 2019[79]"
138,Red Lodge Mountain,Red Lodge,Montana,9416,7016.0,2400.0,1635,70.0,7.0,250,$69,"September 28, 2019[80]"
139,Montana Snowbowl,Missoula,Montana,7600,5000.0,2600.0,950,39.0,4.0,300,$52,"September 28, 2019[81]"
140,Teton Pass,Choteau,Montana,7200,6190.0,1010.0,114,26.0,2.0,250,,
141,White Pass,Yakima,Washington,6500,4500.0,2000.0,1400,45.0,8.0,350,$69,"September 28, 2019[82]"
142,49 Degrees North,Spokane,Washington,5774,3923.0,1851.0,2325,82.0,6.0,300,$62,"September 28, 2019[83]"
143,Hurricane Ridge,Port Angeles,Washington,5500,4800.0,700.0,,10.0,3.0,400,$37,"September 28, 2019[84]"
144,The Summit at Snoqualmie,North Bend,Washington,5420,2610.0,2280.0,1914,62.0,27.0,435,$58,"September 28, 2019[85]"
145,Ski Bluewood,Dayton,Washington,5670,4454.0,1216.0,530,24.0,3.0,300,$50,"September 28, 2019[86]"
146,Mount Spokane,Spokane,Washington,5889,3818.0,2071.0,1704,52.0,8.0,300,$62,"September 28, 2019[87]"
147,Mission Ridge,Wenatchee,Washington,6820,4570.0,2250.0,2000,36.0,6.0,200,$75,"September 28, 2019[88]"
148,Loup Loup Ski Bowl,Twisp,Washington,5280,4040.0,1240.0,550,10.0,3.0,150,$55,"September 28, 2019[89]"
149,Echo Valley,Chelan,Washington,3900,3000.0,900.0,70,6.0,4.0,,$30,"September 28, 2019[90]"
150,Crystal Mountain,Enumclaw,Washington,7002,4400.0,2602.0,2600,57.0,12.0,350,$99,"September 28, 2019[91]"
151,Badger Mountain,Waterville,Washington,3470,3145.0,325.0,10,5.0,3.0,120,$10,"September 28, 2019[92]"
152,Leavenworth Ski Hill,Leavenworth,Washington,1706,1476.0,230.0,17,2.0,2.0,,$22,"September 28, 2019[93]"
153,Meany Lodge,Easton,Washington,,,450.0,54,32.0,1.0,,$40,"September 28, 2019[94]"
154,Sitzmark Lifts,Tonasket,Washington,4950,4300.0,650.0,,11.0,2.0,,$45,"September 28, 2019[95]"
155,Mount Eyak,Cordova,Alaska,1200,400.0,800.0,100,10.0,2.0,350,$30,"September 28, 2019[96]"
156,Moose Mountain,Fairbanks,Alaska,1985,685.0,1300.0,200,40.0,0.0,70,$40,"September 28, 2019[97]"
157,Eaglecrest,Juneau,Alaska,2750,1130.0,1620.0,640,34.0,4.0,350,$58,"September 28, 2019[98]"
158,Hilltop,Anchorage,Alaska,780,486.0,294.0,30,13.0,3.0,69,$34,"September 28, 2019[99]"
159,Arctic Valley,Anchorage,Alaska,4000,2500.0,1500.0,320,24.0,3.0,250,$40,"September 28, 2019[100]"
160,Mount Aurora Skiland,Fairbanks,Alaska,2435,1408.0,1027.0,530,46.0,2.0,,$40,"September 28, 2019[101]"
161,White Pine,Pinedale,Wyoming,9500,8450.0,1050.0,350,27.0,2.0,150,$50,"September 28, 2019[102]"
162,Snowy Range,Centennial,Wyoming,9663,8798.0,865.0,250,27.0,5.0,245,$49,"September 28, 2019[103]"
163,Snow King,Jackson,Wyoming,7808,6237.0,1571.0,400,32.0,5.0,175,$59,"September 28, 2019[104]"
164,Pine Creek,Cokeville,Wyoming,8200,6875.0,1325.0,370,30.0,2.0,150,$45,"September 28, 2019[105]"
165,Hogadon,Casper,Wyoming,8000,7370.0,630.0,60,27.0,2.0,140,$48,"September 28, 2019[106]"
166,Meadowlark Ski Lodge,Ten Sleep,Wyoming,9500,8500.0,1000.0,300,14.0,3.0,,$48,"September 28, 2019[107]"
167,Sleeping Giant,Cody,Wyoming,7428,6619.0,810.0,184,49.0,3.0,310,$42,"September 28, 2019[108]"
168,Elko Snobowl,Elko,Nevada,6988,6338.0,650.0,60,10.0,2.0,24,$20,"September 28, 2019[109]"
169,Diamond Peak,Incline Village,Nevada,8540,6700.0,1840.0,655,30.0,6.0,225,$99,"September 28, 2019[110]"
170,Great Bear Ski Valley,Sioux Falls,South Dakota,1530,1352.0,178.0,220,14.0,4.0,150,$29,"September 28, 2019[111]"
171,Huff Hills,Mandan,North Dakota,2150,1725.0,425.0,,21.0,3.0,40,$35,"September 28, 2019[112]"
172,Bottineau Winter Park,Bottineau,North Dakota,2450,2270.0,180.0,40,8.0,6.0,13,$35,"September 28, 2019[113]"
173,Elk Ridge,Williams,Arizona,8150,7500.0,650.0,37,10.0,2.0,150,$40,"September 28, 2019[114]"
174,Mount Lemmon Ski Valley,Tucson,Arizona,9157,8200.0,957.0,200,21.0,3.0,180,$47,"September 28, 2019[115]"
175,Sunrise Park,Greer,Arizona,11100,9200.0,1900.0,800,65.0,9.0,250,$78,"September 28, 2019[116]"
176,Sandia Peak,Albuquerque,New Mexico,10378,8678.0,1700.0,200,39.0,5.0,100,$55,"September 28, 2019[117]"
177,Ski Apache,Ruidoso,New Mexico,11500,9600.0,1900.0,750,55.0,8.0,185,$74,"September 28, 2019[118]"
178,Sipapu,Taos,New Mexico,9225,8200.0,1055.0,200,41.0,6.0,190,$45,"September 28, 2019[119]"
179,Red River,Red River,New Mexico,10350,8750.0,1600.0,209,64.0,7.0,214,$82,"September 28, 2019[120]"
180,Kelly Canyon,Idaho Falls,Idaho,6600,5600.0,1000.0,640,26.0,5.0,200,$42,"September 28, 2019[121]"
181,Pebble Creek,Pocatello,Idaho,8560,6360.0,2200.0,1100,54.0,3.0,250,$52,"September 28, 2019[122]"
182,Magic Mountain,Twin Falls,Idaho,7240,6540.0,700.0,120,11.0,4.0,230,$33,"September 28, 2019[123]"
183,Blizzard Mountain,Arco,Idaho,6305,5595.0,710.0,,,1.0,,,"September 28, 2019"
184,Rotarun,Hailey,Idaho,5895,5420.0,475.0,,12.0,1.0,,$20,"September 28, 2019[124]"
185,Chipmunk Hill,Challis,Idaho,,,,30,1.0,1.0,,$5,"September 28, 2019"
186,Snowhaven,Grangeville,Idaho,5600,5200.0,400.0,40,9.0,2.0,60,$19,"September 28, 2019[125]"
187,Tamarack,Boise,Idaho,7660,4900.0,2760.0,1100,45.0,6.0,300,$71,"September 28, 2019[126]"
188,Cottonwood Butte,Cottonwood,Idaho,5730,4885.0,845.0,260,7.0,2.0,45,$20,"September 28, 2019[127]"
189,Bald Mountain,Pierce,Idaho,4800,4000.0,800.0,140,16.0,2.0,100,$20,"September 28, 2019[128]"
190,Silver Mountain,Coeur d'Alene,Idaho,6297,4100.0,2197.0,1600,67.0,8.0,300,$58,"September 28, 2019[129]"
191,Mohawk Mountain,Cornwall,Connecticut,1600,960.0,640.0,107,25.0,8.0,24,$67,"September 28, 2019[130]"
192,Powder Ridge,Middlefield,Connecticut,803,377.0,426.0,80,19.0,7.0,60,$49,"September 28, 2019[131]"
193,Ski Sundown,Hartford,Connecticut,1075,450.0,625.0,70,16.0,5.0,45,$62,"September 28, 2019[132]"
194,Mount Southington,Waterbury,Connecticut,525,100.0,425.0,51,14.0,7.0,80,$62,"September 28, 2019[133]"
195,Yawgoo Valley,Exeter,Rhode Island,310,70.0,240.0,36,14.0,3.0,39,$50,"September 28, 2019[134]"
196,Frost Fire,Walhalla,North Dakota,1400,1070.0,330.0,,10.0,3.0,,$23,"September 28, 2019[135]"
197,Hidden Valley,Wildwood,Missouri,860,540.0,320.0,65,17.0,9.0,19,$49,"September 28, 2019[136]"
198,Snow Creek,Weston,Missouri,1099,799.0,300.0,25,12.0,5.0,20,$47,"September 28, 2019[137]"
199,Ober Gatlinburg,Gatlinburg,Tennessee,3300,2700.0,600.0,38,10.0,4.0,9,$65,"September 28, 2019[138]"
200,Paoli Peaks,Paoili,Indiana,900,600.0,300.0,65,17.0,8.0,18,$45,"September 28, 2019[139]"
201,Perfect North Slopes,Lawrenceburg,Indiana,800,400.0,400.0,100,23.0,11.0,23,$52,"September 28, 2019[140]"
202,Alpine Valley,Chesterland,Ohio,1500,1260.0,240.0,72,11.0,5.0,120,$44,"September 28, 2019[141]"
203,Boston Mills/Brandywine,Peninsula,Ohio,871,531.0,240.0,79,18.0,16.0,54,$44,"September 28, 2019[142]"
204,Mad River,Bellafontaine,Ohio,1460,1160.0,300.0,144,23.0,12.0,36,$49,"September 28, 2019[143]"
205,Snow Trails,Mansfield,Ohio,1475,1175.0,300.0,80,17.0,7.0,52,$52,"September 28, 2019[144]"
206,Big Creek,Concord,Ohio,1466,1292.0,174.0,23,5.0,2.0,102,,"September 28, 2019"
207,Wisp Ski Resort,McHenry,Maryland,3115,2145.0,700.0,132,34.0,12.0,100,$49,"September 28, 2019[145]"
208,Campgaw Mountain,Mahwah,New Jersey,726,450.0,276.0,23,12.0,5.0,45,$41,"September 28, 2019[146]"
209,Mountain Creek,Vernon,New Jersey,1490,450.0,1040.0,167,46.0,9.0,65,$80,"September 28, 2019[147]"
210,Big Rock,Presque Isle,Maine,1590,670.0,920.0,60,27.0,3.0,100,$40,"September 29, 2019[148]"
211,Big Squaw Mountain,Greenville,Maine,2920,1300.0,1620.0,1216,33.0,1.0,136,$30,"September 29, 2019[149]"
212,Mount Jefferson,Lee,Maine,775,343.0,432.0,160,13.0,2.0,75,$25,"September 29, 2019[150]"
213,New Hermon Mountain,Bangor,Maine,450,150.0,300.0,70,20.0,3.0,90,$35,"September 29, 2019[151]"
214,Camden Snow Bowl,Camden,Maine,1080,235.0,845.0,100,17.0,3.0,50,$33,"September 29, 2019[152]"
215,Powderhouse Hill,Portland,Maine,240,120.0,120.0,,3.0,1.0,,$5,"September 29, 2019[153]"
216,Lost Valley,Lewiston,Maine,480,240.0,240.0,45,27.0,4.0,99,$60,"September 29, 2019"
217,Shawnee Peak,Bridgton,Maine,,,1300.0,245,44.0,6.0,110,$75,"September 29, 2019[154]"
218,Sunday River,Newry,Maine,3140,800.0,2340.0,870,153.0,18.0,155,$109,"September 29, 2019[155]"
219,Ski Mount Abraham,Bethel,Maine,1990,940.0,1050.0,650,44.0,5.0,115,$49,"September 29, 2019[156]"
220,Black Mountain of Maine,Lewiston,Maine,2380,1000.0,1380.0,300,46.0,2.0,120,$45,"September 29, 2019[157]"
221,Titcomb Mountain,Augusta,Maine,750,400.0,350.0,45,16.0,3.0,85,$17,"September 29, 2019[158]"
222,Spruce Mountain Ski Slope,Jay,Maine,310,10.0,300.0,,12.0,3.0,,$25,"September 29, 2019[159]"
223,Eaton Mountain,Waterville,Maine,840,220.0,620.0,130,18.0,2.0,72,$15,"September 29, 2019[160]"
224,Baker Mountain,Bingham,Maine,,,460.0,,5.0,1.0,,,"September 29, 2019"
225,Blandford Ski Area,Blandford,Massachusetts,1490,1025.0,465.0,55,29.0,5.0,70,$45,"September 29, 2019[161]"
