,Provider,Win.1,Linux1,Mac1,Android1,iOS1,Encrypted storage,Zero knowledge2,Secure Key Management3[1],Limited MB plan4,Unlimited MB plan4,$/MB plan4,Unlimited BW 16,Provider.1,Cloud hosted Net Drive5,Sync7,Autodetect changes12,Public file hosting8,physical media restore9,Server location(s)10,Free online storage (non-trial)13,Maximum per-file size,External hard drive support14,Hybrid Option15,Green Hosting,OpenSaaS
19,Iperius Online Storage,Yes,No,No,,,Yes[48],Optional[48],?,"50, 100, 200, 500 GB",No,No,Yes,Iperius Online Storage,,Yes,Yes,No,Iperius Online Storage,,,No limit,,,,
20,Intronis,Yes,No,Yes,Yes,Yes,Yes,Yes,configurable,Yes,No[49],Yes,Yes,Intronis,Yes,Yes[50],Yes,No,Yes[51],"United States, Canada",No,No limit,Yes,Optional,Yes,
21,Jumpshare,Yes,No,Yes,No,Yes,Yes[52],,,Yes,No,No,Yes[53],Jumpshare,,Yes,Yes,Yes,No,"United States, Europe",2 GB,"250 MB on free, Unlimited on Jumpshare Plus",,,Yes,
22,Jungle Disk,Yes,Yes,Yes,Yes,Yes,Yes[54],Yes[54],Yes,,,Yes,Yes,Jungle Disk,Yes[55],Yes,Yes,Yes,,"United States, Europe",No,No limit in Backup Vault,Yes,,"Partial, Amazon AWS[36][56] or Rackspace Cloud Files.",
23,KeepVault,Yes,No,No,,,Yes[57],Yes[58],?,Yes,No,Yes,,KeepVault,,,Yes,,,United States,,20 GB,,,,
24,Livedrive,Yes,No,Yes,Yes,Yes,No,No,?,Yes,Online Backup only,No,Yes,Livedrive,Yes (paid-only)[59],Yes,Yes,Yes,Yes,United Kingdom,No,No limit,Yes,,,
25,MediaFire,Yes,Upload only [1],Yes,Yes,Yes,No,No,?,Yes,No,Yes,Yes,MediaFire,No,Yes,Yes,Yes,,United States,10 GB,No Limit,No,No,,
26,Mega,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[60],Yes,No,Yes,Yes,Mega Ltd.,No,Yes,"Yes, using MEGAsync client",Yes,No,"Europe, New Zealand",15 GB + 35 GB first 30 days,No limit,No,No,,
27,MiMedia,Yes,No,No,,,Yes[61],No,?,Yes,No,Yes,Yes,MiMedia,No[62],No,Yes,No,No,United States,7 GB,3 GB,Yes,,,
28,Mozy,Yes,Yes,Yes,Yes,Yes,Yes[63],Optional[63],?,Yes,No,,,Mozy,,Yes,Yes,,Yes,"United States, Europe",2 GB,No limit [64],Yes,No,,
29,OneDrive,Yes,"No, see note[65]",Yes,Yes[66],Yes,Yes[67],No,?,Yes,No,,,OneDrive,No,Yes,,,,,"5 GB for new users, 25 GB for older users",10 GB,,,"Partial, 29%[36]",No
30,SpiderOak,Yes,Yes,Yes,Download Only,Download Only,Yes[68],Yes[69],?,Yes,Business only (min 10 users),Yes,Yes,SpiderOak,No[70],Yes,Yes,Yes,,,(2 GB free for 60 days only),No limit,Yes,Yes[71],,No
31,SugarSync,Yes,No,Yes,Yes,Yes,Yes[72],No[73],?,Yes,No,No,,SugarSync,,Yes,Yes,Yes (SugarSync account needed for folders),,,No,100 MB (web) No limit (client app)[74],,,,
32,Syncplicity,Yes,No,Yes,Yes,Yes,Yes[75],No[75],?,,,Yes,,Syncplicity,,Yes,Yes,Yes,,United States,10 GB,,,,,
33,Tarsnap,Yes via Cygwin,Yes,Yes,No,No,Yes,Yes[76],?,No,No,Yes,,Tarsnap,No,,,,,,No,,,,"No, Amazon AWS[36][77]",No
34,Trend Micro SafeSync,Yes,Partial,Yes,"Yes, via Storage Made Easy client","Yes, via Storage Made Easy client",,No,?,,,Yes,,Trend Micro SafeSync,Yes[citation needed],Yes,,Yes,,United Kingdom,,,,,,
35,Tresorit,Yes,Yes[78],Yes,Yes,Yes,Yes,Yes,Yes[79],Yes,No,Yes,Yes,Tresorit,Yes[80],Yes,Yes,Yes,No,"Ireland, Netherlands[81]",3 GB[82],"0.5 GB (free), 10 GB (paid)[83]",Yes,No,,
36,Unitrends Vault2Cloud,Yes,Yes,Yes,,,Yes[84],No,?,No,Yes,Yes,,Unitrends Vault2Cloud,Yes[citation needed],Yes,,No,Yes,United States,No,,,,,
37,UpdateStar Online Backup,Yes,No,No,,,Yes[85],No[86],?,Yes[87],Yes,,,UpdateStar Online Backup,,,,,,Europe,,,,,,
38,Yandex.Disk,Yes,Yes[88],Yes,Yes,Yes,No[89],No,?,Yes,,,,Yandex.Disk,Yes[90],Yes,Yes,Yes,,Russia,10 GB,50 GB,,,,
39,Zetta.net,Yes[91],Yes,Yes,,,Yes,No,?,Yes,No,Yes[92],Yes,Zetta.net,Yes[93],Yes,Yes,No,Yes,United States[94],No,No limit,Yes,Yes,,
40,Zmanda Cloud Backup,Yes,No,No,,,Optional[95],Optional[95],?,,,Yes,,Zmanda Cloud Backup,Yes[citation needed],,,,Yes,"United States, Europe, Singapore, Japan",,No limit,Yes,Yes,"Partial, Amazon AWS or Google Cloud Storage[36][96]",
