,Distribution,Default Linux kernel,Default file system,Default init system,Install-time desktop environment or window manager selection,Reproducible builds
41,Porteus,Binary blobs,"Squashfs, ext2, ext3, ext4, FAT32, reiser, xfs",sysvinit,"KDE, LXDE, Xfce, Openbox, Razor-qt",No
42,Puppy Linux,Binary blobs,SquashFS containing ext2,busybox-init,JWM,No
43,Red Hat Enterprise Linux,Binary blobs,xfs,systemd,GNOME,No
44,Rxart Desktop,Binary blobs,ext3,?,KDE Plasma Workspaces,No
45,Sabayon Linux,Binary blobs,ext4[98],systemd,"KDE Plasma Workspaces, GNOME",No
46,Scientific Linux,Binary blobs,ext4,"sysvinit, systemd[99]",GNOME,No
47,Slackware,Binary blobs[80],ext4,sysvinit compatible BSD init scripts,"KDE Plasma Workspaces, Xfce, Fluxbox, Blackbox, twm",No
48,Slax,Binary blobs,SquashFS,sysvinit,KDE Plasma Workspaces,No
49,SliTaz GNU/Linux,Binary blobs,ext3,busybox-init,Openbox,No
50,Solus,Binary blobs,ext4,systemd,"Budgie, Gnome, MATE",No
51,Source Mage GNU/Linux,Binary blobs,ext2,simpleinit-msb,none,No
52,SteamOS,Binary blobs,?,systemd,Steam,No
53,SUSE Linux Enterprise Desktop,Binary blobs[80],btrfs[100],systemd,GNOME,No
54,Tails,Vanilla Linux[80],?,systemd,GNOME,No
55,Tor-ramdisk,Binary blobs,ext2,?,none,No
56,Trisquel,Linux-libre,"ext4, xfs",systemd,"GNOME, LXDE",No
57,TurnKey GNU/Linux,Binary blobs,ext4,systemd,none - headless server by design; provides Webmin for administration,No
58,Ubuntu/Edubuntu,Binary blobs[80],ext4[101],systemd,Unity,No
59,Ubuntu GNOME,Binary blobs,ext4,systemd,GNOME 3,No
60,Ubuntu MATE,Binary blobs,ext4,systemd,MATE,No
61,Kubuntu,Binary blobs,ext4[101],systemd,KDE Plasma Workspaces,No
62,Xubuntu,Binary blobs,ext4[101],systemd,Xfce,No
63,Lubuntu,Binary blobs,ext4,systemd,LXDE,No
64,Ututo,"Ututo XS (stable) is de-blobed with Linux-libre tools.[102] Ututo UL (development) uses Linux-libre. Ututo UL means ""Ubuntu-Libre""",ext3,systemd,GNOME,No
65,VectorLinux,Binary blobs,ReiserFS,sysvinit,"KDE, Openbox, Fluxbox, IceWM, Xfce",No
66,Void Linux,Binary blobs,none,runit,none,No
67,Webconverger,Binary blobs,gitfs,sysvinit,dwm enforcing a Browser-only interface,No
68,XBMC Live,Binary blobs,ext3,systemd,XBMC Media Center,No
69,Zentyal,Binary blobs,ext4,systemd,LXDE,No
70,Zenwalk,Binary blobs,ext4,sysvinit,Xfce,No
71,Distribution,Default Linux kernel,Default file system,Default init system,Install-time desktop environment or window manager selection,Reproducible builds
