,Name,Hard drive: partition size max,Native support:File systems,"Native support:floppy capacities 3.5""","Native support:floppy capacities 5.25""","Native support:floppy capacities 8.0""",Integrated disk compression utility,Native support:long file names
15,"MS-DOS 7.1 (Windows 95B/OSR2, Windows 95C/OSR2.5, Windows 98, and Windows 98SE)",124.55 GB with FAT32[12],"FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,"DriveSpace for Windows 95, none for Windows 98",No
16,MS-DOS 8.0 (Windows Me and later Windows versions)[2],124.55 GB with FAT32[12],"FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
17,PC DOS 1.0,,FAT12,,160 KB,,No,No
18,PC DOS 1.1,,FAT12,,160 KB; 320 KB (double-sided),,No,No
19,PC DOS 2.0-2.1,16 MB (32 MB with third-party FORMAT)[9],FAT12,,160 KB; 180 KB; 320 KB; 360 KB,,No,No
20,PC DOS 3.0,32 MB,"FAT12, FAT16",,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
21,PC DOS 3.1,32 MB,"FAT12, FAT16",,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
22,PC DOS 3.2,32 MB,"FAT12, FAT16",720 KB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
23,PC DOS 3.3,32 MB,"FAT12, FAT16",720 KB; 1.44 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
24,IBM DOS 4.0,2 GB,"FAT12, FAT16, FAT16B",720 KB; 1.44 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
25,IBM DOS 5.0,2 GB,"FAT12, FAT16, FAT16B","720 KB, 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
26,PC DOS 6.1 (early version),2 GB,"FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
27,PC DOS 6.1 with Compression / PC DOS 6.3,2 GB,"FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,SuperStor,No
28,PC DOS 7.0 / PC DOS 2000,2 GB,"FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 1.86 MB (XDF), 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB, 1.54 MB (XDF)",,Stacker,No
29,PC DOS 7.10,?,"FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 1.86 MB (XDF), 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB, 1.54 MB (XDF)",,"Stacker, not on FAT32",No
30,DOS Plus 1.1,32 MB,"FAT12, FAT16, CP/M-86",315 KB; 720 KB; CP/M 315 KB; CP/M 720 KB; MSX-DOS 360 KB; MSX-DOS 720 KB,160 KB; 180 KB; 320 KB; 360 KB; 800 KB; 1.2 MB; CP/M 160 KB; CP/M 320 KB,,No,No
31,DOS Plus 1.2-2.1,32 MB,"FAT12, FAT16, CP/M-86",Apricot 315 KB;[13] (720 KB[14]),160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB; Acorn 640 KB; Acorn 800 KB;[15] CP/M 320 KB,,No,No
32,DR DOS 3.31-3.35,2 GB[citation needed],"FAT12, FAT16, FAT16B",720 KB; 1.44 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,,No,No
33,DR DOS 3.40-3.41,2 GB,"FAT12, FAT16, FAT16B",720 KB; 1.44 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB[16]),No,No
34,DR DOS 5.0,2 GB,"FAT12, FAT16, FAT16B",720 KB; 1.44 MB,160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB[16]),No,No
35,DR DOS 6.0,2 GB,"FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB[16]),SuperStor,No
36,PalmDOS 1.0,2 GB,"FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB[16]),SuperStor,No
37,Novell DOS 7,2 GB,"FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB[16]),Stacker,No
38,OpenDOS 7.01,2 GB,"FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB[16]),Stacker,No
39,DR-OpenDOS 7.02,2 GB,"FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB[16]),Stacker,No
40,DR-DOS 7.02,2 GB,"FAT12, FAT16, FAT16B, (FAT32 in FDISK only)","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB[16]),Stacker,"Partial, COMMAND.COM and LONGNAME only"
41,DR-DOS 7.03,2 GB,"FAT12, FAT16, FAT16B, (FAT32 in FDISK only)","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB[16]),Stacker,"Partial, COMMAND.COM and LONGNAME only"
42,DR-DOS 7.04-7.05,?,"FAT12, FAT16, FAT16B, FAT32 (non-bootable)","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB[16]),"Stacker, not on FAT32","Partial, COMMAND.COM and LONGNAME only"
43,DR-DOS 7.06-7.07,?,"FAT12, FAT16, FAT16B, FAT32 (bootable)","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB[16]),"Stacker, not on FAT32","Partial, COMMAND.COM and LONGNAME only"
44,DR-DOS 8.0,?,"FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB",160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB,(250.25 KB[16]),"Supported, not on FAT32","Partial, COMMAND.COM only"
45,DR-DOS 8.1,?,"FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB",360 KB; 1.2 MB,,No,No
46,FreeDOS 1.0,2 TB[citation needed],"FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB",360 KB; 1.2 MB,,?,No
47,FreeDOS 1.1-1.2,2 TB[citation needed],"FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB",360 KB; 1.2 MB,,No,Yes
48,PTS-DOS 32,?,"FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB",360 KB; 1.2 MB,,No,No
49,PTS-DOS 2000,?,"FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB",360 KB; 1.2 MB,,No,No
50,PTS-DOS 2000 PRO,?,"FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB",360 KB; 1.2 MB,,No,No
51,Datalight ROM-DOS,?,"FAT12, FAT16, FAT16B, FAT32","720 KB; 1.44 MB, 2.88 MB",360 KB; 1.2 MB,,No,Yes
52,DIP DOS,,FAT12,,,,No,No
