,Name,Creator,Initial public release,Predecessor,Current stable version,Release date,"Cost, availability",Preferred license[g 1],Target system type
38,Solaris,Sun (now Oracle Corporation),1992,SunOS,11.4,"2018, August 28","Commercial; (but free/no-cost perpetual license when used ""for the purpose of developing, testing, prototyping and demonstrating your applications""[4])",CDDL,"Server, workstation"
39,Symbian,Symbian Ltd.,1998,EPOC32,9.5,2009,Discontinued; Commercial,Proprietary,Phones
40,Symbian platform,Symbian Foundation,2010 (initially 1998 as Symbian),Symbian,3.0.4,2010,Free,EPL,embedded
41,Windows Server (NT family),Microsoft,1993,"OS/2, Windows 3.x and MS-DOS",Windows Server 2019 (Version 10.0.17763),"2018, October 2",US$1050 5 CALs server; other editions dependent on number of CALs purchased,Proprietary; Source-available,"Server, NAS, embedded"
42,Windows (NT family),Microsoft,1993,"OS/2, Windows 9x and MS-DOS",Windows 10 (Version 1903),"2019, May 21","Windows 10 Home US$119, Windows 10 Pro US$199[5]",Proprietary; Source-available,"Workstation, personal computer, media center, Tablet PC, embedded"
43,Windows (classic 9x family),Microsoft,1995,"MS-DOS, Windows NT 3.5",Windows Me (Win 4.90.3000),2000,Discontinued,Proprietary,"Personal computer, media center"
44,RISC iX,Acorn Computers,1988,BSD 4.3,1.21c,1993,Discontinued; Was bundled with hardware,Proprietary,Workstation
45,RISC OS,Acorn Computers,1987,"Arthur, also the BBC Master OS",3.71,1997,Discontinued; Was bundled with hardware,Proprietary,"Education, personal computer"
46,RISC OS 4,"RISCOS Ltd, Pace plc",1999,RISC OS,4.39,2004,"Bundled with hardware, then sold separately at £70 (US$127)",Proprietary,"Education, personal computer"
47,RISC OS 5,"Castle Technology, RISC OS Open",2002,RISC OS 4,5.24[6],2018,Free,Apache License,"Education, personal computer"
48,RISC OS 6,RISCOS Ltd,2006,RISC OS 4,6.20,2009,"Bundled with hardware, then sold separately at £70 (US$127)",Proprietary,"Education, personal computer"
49,ZETA,yellowTAB,2005,BeOS R5,1.5,2007,Discontinued,Proprietary,"Personal computer, media center, workstation"
50,"STOP 6, XTS-400",BAE Systems,2003,"STOP 5, XTS-300",6.5,"2008, August","US$60,000 (equivalent to $69,821 in 2018)+; bundled with XTS hardware and OEM licensed",Proprietary,"Server, workstation"
51,ReactOS,ReactOS development team,1996,Windows NT,0.4.10,"2018, November 6",Free,"GNU GPL, GNU LGPL","Workstation, personal computer"
52,TrueOS,PC-BSD Software,2006,FreeBSD[g 5],10.1[7],"2014, November 16",Free,BSD,"Personal computer, workstation, server"
53,VxWorks,Wind River Systems,1987,VRTX,7,2014 March,Paid,Proprietary,Embedded Real-time systems
54,z/OS,IBM,2000,OS/390,Version 2.3 (V2R3),"2017, September 29","Monthly license fee, about US$130 and up",Proprietary,IBM mainframe
55,z/VSE,IBM,2007,VSE/ESA,6.2,"2017, December 1",Monthly license fee,Proprietary,IBM mainframe
56,z/VM,IBM,2000,VM,6.4,"2016, November 11",Monthly license fee,Proprietary,IBM mainframe
57,HP NonStop,HP (now Hewlett Packard Enterprise),1974,Guardian,H06.24/J06.13,2012,Non-free,Proprietary,HP Nonstop Servers
58,Name,Creator,Initial public release,Predecessor,Current stable version,Release date,"Cost, availability",Preferred license[g 1],Target system type
