,Unnamed: 0,Maintainer,First public release date,Latest stable version,Latest release date,License,Public issues list
45,Polyhedra DBMS,ENEA AB,1993,9.0,2015-06-24,"Proprietary, with Polyhedra Lite available as Freeware[27]",No
46,PostgreSQL,PostgreSQL Global Development Group,1989-06,12,2019-10-03[28],PostgreSQL Licence (a liberal Open Source license)[29],No[30]
47,R:Base,R:BASE Technologies,1982,10.0,2016-05-26,Proprietary,No
48,Raima Database Manager,Raima Inc.,1984,14.1,2018-03-23,Proprietary,No
49,RDM Server,Raima Inc.,1993,8.4,2012-10-31,Proprietary,No
50,SAP HANA,SAP AG,2010,2.0 SPS04,2019-08-08,Proprietary,No
51,solidDB,UNICOM Global,1992,7.0.0.10,2014-04-29,Proprietary,No
52,SQL Anywhere,SAP AG,1992,17.0.0.48,2019-07-26,Proprietary,No
53,SQLBase,Unify Corp.,1982,11.5,2008-11,Proprietary,No
54,SQLite,D. Richard Hipp,2000-09-12,3.28.0,2019-04-16[31],Public domain,Yes[32]
55,SQream DB,SQream Technologies,2014,2.1[33],2018-01-15,Proprietary,No
56,Superbase,Superbase,1984,Scientific (2004),,Proprietary,No
57,Teradata,Teradata,1984,15,2014-04,Proprietary,No
58,Tibero,TmaxSoft,1992,6,2015-04,Proprietary,No
59,TiDB,Apache,2016,3.0.0,2019-06-28[34],Apache License,Yes[35]
60,UniData,Rocket Software,1988,8.2.1,2017-07,Proprietary,No
61,YugaByte DB,Apache,2018,1.3.1,2019-07-30[36],Apache License,Yes[37]
62,,Maintainer,First public release date,Latest stable version,Latest release date,License,Public issues list
