,Program,Operating systems,License,Open source,Protocols,Codecs,Encryption,Other abilities,Latest release
17,Tango by TangoME Inc.,"iOS, Android, Microsoft Windows, macOS, Windows Phone","Proprietary, freeware",?,?,?,?,"VoIP, Wi-Fi out & in, SMS over IP, call-through & call-back, instant messaging, videoconferencing",?
18,Truphone,"Nokia-Symbian, iOS, Android, BlackBerry","Proprietary, freeware",No,SIP,?,?,"VoIP, Wi-Fi out & in, SMS over IP, call-through & call-back, connection management, provisioning","Symbian 4.0, iOS 1.11.1"
19,Vopium,"Symbian, Java ME, Android, BlackBerry RIM, iOS, Windows Mobile 2003 SE and higher","Proprietary, freeware",No,"SIP, MSN, Skype, Yahoo, AOL, ICQ, Google Talk, Facebook & Twitter",GSM,?,"Wi-Fi VoIP, GSM call-through, SMS over IP, least cost routing, synchronising-backup mobile contacts and calendar",2.0
20,WhatsApp,"Android, BlackBerry, iOS, Symbian, Windows Phone","Proprietary, freeware",No,?,?,"ECDH, SRTP[62]",VoIP and instant messaging over Wi-Fi or a data connection.,"iOS2.19.112 / October 30, 2019; 36 days ago[63]Android2.19.341 / November 20, 2019; 15 days ago[64]"
21,iOS,"2.19.112 / October 30, 2019; 36 days ago[63]",,,,,,,
22,Android,"2.19.341 / November 20, 2019; 15 days ago[64]",,,,,,,
23,Windows Mobile 6,Windows Mobile 6 Professional/Standard,Proprietary,No,SIP to publicly and non-publicly routable servers,?,?,Wi-Fi Mobile VoIP,6.1
24,X-PRO for Pocket PC,Windows Mobile 2003 (earlier versions support Windows PocketPC 2002),"Proprietary, discontinued in April 2007[65]",No,SIP,?,?,"Supported devices: AudioVox Maestro, Compaq/HP iPAQ: 365x, 37xx, 385x, 395x, hx4700, Dell Axim X51, X51v, Toshiba e550, e570. iPAQ 545x and Toshiba e7xx are not supported.[66]",2.2
25,Yuilop,"Android, iOS , Windows Phone, BlackBerry OS","Proprietary, freeware",No,"XMPP, RTP",iLBC,TLS,"VoIP over 3G-4G-LTE and Wi-fi, SMS, group chat, photo sharing, Location sharing, virtual phone numbers","iOS 2.4 (November 26, 2014; 5 years ago[67]) [±] Android 2.0.2 (February 12, 2014; 5 years ago) [±] Windows Phone 7.x 1.0.1.7 (September 12, 2013; 6 years ago) [±] Windows Phone 8.x 1.0.0.4 (September 18, 2013; 6 years ago) [±] BlackBerry OS 1.0.1 (May 31, 2013; 6 years ago) [±] Kindle Fire 2.0 (December 19, 2013; 5 years ago[68]) [±]"
26,Linkus,"Android V4.4+, iOS v10.0+","Proprietary, freeware",No,SIP,iLBC,"TLS,SRTP","HD VoIP Call, Instant Messaging, Conferencing, SRTP Secure Media, Presence information",iOS 2.7.9 Android 2.7.12
