,Unnamed: 0,Server OS support,Features,Features.1,Features.2,Features.3,Features.4,Features.5,Features.6,Features.7,Features.8,Features.9,Features.10,Features.11,Storage,Storage.1,Users,Unnamed: 17
10,Exim,Yes,Yes,"Dovecot, UW IMAP","Dovecot, UW IMAP","Dovecot, UW IMAP",Yes,Yes[7],No,Yes,Yes,No,No,Yes,Yes,Yes,No,GPLv2+[8]
11,FirstClass,Yes,Yes,Yes,Yes,?,Yes,?,Yes,?,Yes,Yes,Yes,?,Yes,Yes,Yes,Proprietary
12,Gordano Messaging Suite,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary
13,GroupWise,Yes,Yes,Yes,Yes,?,Yes,?,Yes,?,Yes,Yes,Yes,?,Yes,No,No,Proprietary
14,Halon,Yes,Yes,No,No,No,Yes,Yes[9],No,Yes,Yes,No,No,?,Yes,Yes,Yes,Proprietary
15,Haraka,Yes,Yes,No,No,No,Yes,?,No,Yes,Yes,No,No,?,Yes,Yes,Yes,MIT
16,hMailServer,No,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,No,?,Yes,Yes,No,GNU AGPL
17,IBM Lotus Domino,Yes,Yes,Yes,Yes,?,Yes,?,Yes,Yes,Yes,Yes,Yes,?,Yes,No,No,Proprietary
18,IceWarp Mail Server,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Proprietary
19,Ipswitch IMail Server,No,Yes,Yes,Yes,Yes (since v12.2)[10],Yes,?,Yes,?,Yes,Yes,Yes,?,No,Yes,No,Proprietary
20,Kerio Connect,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Proprietary
21,Kolab,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GPLv3
22,Kopano,Yes,External[11],Yes,Yes,Yes,External[11],No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Amazon S3,"AGPLv3, paid[12]"
23,Mailsite,No,Yes,Yes,Yes,?,Yes,?,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary
24,Mailtraq,No,Yes,Yes,Yes,Yes,Yes,?,Yes,?,Yes,Yes,No,?,Yes,Yes,Yes,Proprietary
25,MDaemon,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Proprietary
26,Mercury Mail Transport System,No,Yes,Yes,Yes,Yes,Yes,?,Yes,?,Yes,Yes,No,?,No,Yes,No,Proprietary donationware
27,Microsoft Exchange Server,No,Yes,Yes,Yes,Yes[13][14],Yes,?,Yes,Yes (2007 sp1 onwards)[15],Yes,Yes,Yes,?,ESE only,Yes (up to 2003 only)[16],Yes,Proprietary
28,NetMail,Yes,Yes,Yes,Yes,?,Yes,?,Yes,?,Yes,Yes,No,?,Yes,No,No,Proprietary
29,OpenSMTPD,Yes,Yes,No,No,No,Yes,No[17],No,Yes,Yes,No,No,?,possible through custom backends,Yes,No,ISC
30,Open-Xchange,Yes,Yes,Yes,Yes,?,Yes,?,Yes,?,Yes,Yes,Yes,?,Yes,No,No,"Proprietary/SaaS, with open-source parts[18]"
31,Oracle Communications Messaging Server,Yes,Yes,Yes,Yes,?,Yes,?,Yes,?,Yes,Yes,No,?,Yes,Yes,No,Proprietary
32,Postfix,Yes,Yes,"Dovecot, UW IMAP","Dovecot, UW IMAP","Dovecot, UW IMAP",Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,IBM Public License
33,qmail,Yes,Yes,Yes,"Dovecot, UW IMAP","Dovecot, UW IMAP",No,No,"Dovecot, UW IMAP",via Qsmtp,No,No,No,?,(cdb),Yes,No,Public domain
34,Qpopper,Yes,No,Yes,No,No,No,?,Yes,?,Yes,No,No,?,No,Yes,Yes,"BSD-style, GPL-incompatible[19]"
35,Scalix,Yes,Yes,Yes,Yes,Yes,Yes (via Stunnel),?,Yes (via Stunnel),?,Yes (via Stunnel),Yes,Yes,?,Yes,Yes,No,"Proprietary with OSS parts, a community (Freeware) and 3 paid editions (SMB, Enterprise, Hosting)"
36,Sendmail,Yes,Yes,"Dovecot, UW IMAP","Dovecot, UW IMAP","Dovecot, UW IMAP",Yes,?,No,Yes,Yes,No,No,No,?,Yes,?,Sendmail License
37,SparkEngine,Yes,Yes,No,No,No,Yes,?,No,?,Yes,No,No,?,Yes,Yes,Yes,Proprietary
38,UW IMAP,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,WebPine,No,No,Yes (Indexes),Yes,No,Apache License 2.0[20]
39,WinGate,No,Yes,Yes,Yes,Yes,Yes,?,Yes,No,Yes,Yes,No,?,No,Yes,No,Proprietary
40,Zarafa,Yes,External[11],Yes,Yes,Yes,External[11],No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"AGPLv3, paid[12]"
41,Zentyal,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No,Yes,Yes,Yes,?,Yes,Yes,No,GPLv2[21]
42,Zimbra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,ZPL and proprietary editions[22]
43,Mail server,Linux/Unix,SMTP,POP3,IMAP,IMAP IDLE,SMTP over TLS,DANE,POP over TLS,IPv6,SSL,Webmail,ActiveSync,Sieve,Database,Filesystem,Other,License
